
# Exported from http://www.nutritionvalue.org 
# Blackberries, raw
# Serving size 100g
Nutrient, Amount
"Fatty acids, total trans", 0.000 g
"Tocotrienol, delta", 0.00 mg
"Maltose", 0.07 g
"Vitamin A", 214.00 IU
"Fructose", 2.40 g
"Lactose", 0.00 g
"Sucrose", 0.07 g
"Glucose (dextrose)", 2.31 g
"Hexanoic acid", 0.000 g
"Copper, Cu", 0.165 mg
"Lycopene", 0.00 mcg
"Eicosenoic acid", 0.004 g
"Selenium, Se", 0.4 mcg
"Retinol", 0.00 mcg
"Manganese, Mn", 0.646 mg
"Thiamin", 0.020 mg
"Saturated fatty acids", 0.014 g
"Dihydrophylloquinone", 0.0 mcg
"Cholesterol", 0.00 mg
"Octadecenoic acid", 0.044 g
"Docosapentaenoic n-3 acid", 0.000 g
"Eicosatetraenoic acid", 0.000 g
"Water", 88.15 g
"Tocotrienol, alpha", 0.00 mg
"Hexadecanoic acid", 0.012 g
"Folate", 25.00 mcg
"Tetradecanoic acid", 0.000 g
"Tocotrienol, beta", 0.00 mg
"Tocotrienol, gamma", 0.00 mg
"Hexadecenoic acid", 0.000 g
"Carotene, alpha", 0.00 mcg
"Vitamin E", 1.17 mg
"Vitamin A, RAE", 11.00 mcg
"Carotene, beta", 128.00 mcg
"Tocopherol, beta", 0.04 mg
"Vitamin D", 0.00 IU
"Calcium, Ca", 29.00 mg
"Choline", 8.5 mg
"Monounsaturated fatty acids", 0.047 g
"Vitamin D (D2 + D3)", 0.0 mcg
"Eicosapentaenoic n-3 acid", 0.000 g
"Galactose", 0.03 g
"Docosenoic acid", 0.000 g
"Zinc, Zn", 0.53 mg
"Protein", 1.39 g
"Dodecanoic acid", 0.000 g
"Carbohydrate", 9.61 g
"Fat", 0.49 g
"Ash", 0.37 g
"Starch", 0.00 g
"Calories", 43.00 kcal
"Decanoic acid", 0.000 g
"Iron, Fe", 0.62 mg
"Magnesium, Mg", 20.00 mg
"Phosphorus, P", 22.00 mg
"Potassium, K", 162.00 mg
"Sodium, Na", 1.00 mg
"Theobromine", 0.00 mg
"Caffeine", 0.00 mg
"Niacin", 0.646 mg
"Octadecatetraenoic acid", 0.000 g
"Sugars", 4.88 g
"Tocopherol, gamma", 1.34 mg
"Cryptoxanthin, beta", 0.00 mcg
"Alcohol, ethyl", 0.0 g
"Docosahexaenoic n-3 acid", 0.000 g
"Betaine", 0.3 mg
"Folate, DFE", 25.00 mcg
"Lutein + zeaxanthin", 118.00 mcg
"Folate, food", 25.00 mcg
"Octanoic acid", 0.000 g
"Vitamin C", 21.0 mg
"Octadecadienoic acid", 0.186 g
"Octadecatrienoic acid", 0.094 g
"Vitamin B6", 0.030 mg
"Riboflavin", 0.026 mg
"Pantothenic acid", 0.276 mg
"Octadecanoic acid", 0.003 g
"Polyunsaturated fatty acids", 0.280 g
"Butanoic acid", 0.000 g
"Tocopherol, delta", 0.90 mg
"Folic acid", 0.00 mcg
"Vitamin B12", 0.00 mcg
"Vitamin K", 19.8 mcg
"Fiber", 5.3 g
"Tocopherol, alpha", 1.17 mg
# Exported from http://www.nutritionvalue.org 
