
# Exported from http://www.nutritionvalue.org 
# Oranges, with peel, raw
# Serving size 1 cup = 170 g
Nutrient, Amount
"Fatty acids, total trans", 0.000 g
"Retinol", 0.00 mcg
"Vitamin A", 425.00 IU
"Cholesterol", 0.00 mg
"Hexadecenoic acid", 0.012 g
"Docosapentaenoic n-3 acid", 0.000 g
"Hexanoic acid", 0.000 g
"Copper, Cu", 0.097 mg
"Eicosapentaenoic n-3 acid", 0.000 g
"Eicosenoic acid", 0.000 g
"Selenium, Se", 1.2 mcg
"Butanoic acid", 0.000 g
"Monounsaturated fatty acids", 0.093 g
"Glycine", 0.223 g
"Octadecatetraenoic acid", 0.000 g
"Octadecenoic acid", 0.082 g
"Eicosatetraenoic acid", 0.000 g
"Water", 139.91 g
"Hexadecanoic acid", 0.054 g
"Serine", 0.076 g
"Riboflavin", 0.085 mg
"Dodecanoic acid", 0.002 g
"Niacin", 0.850 mg
"Vitamin A, RAE", 22.10 mcg
"Thiamin", 0.170 mg
"Vitamin C", 120.7 mg
"Calcium, Ca", 119.00 mg
"Methionine", 0.046 g
"Cystine", 0.024 g
"Leucine", 0.054 g
"Lysine", 0.112 g
"Threonine", 0.036 g
"Isoleucine", 0.060 g
"Tryptophan", 0.020 g
"Docosenoic acid", 0.000 g
"Zinc, Zn", 0.19 mg
"Protein", 2.21 g
"Phenylalanine", 0.073 g
"Carbohydrate", 26.35 g
"Fat", 0.51 g
"Ash", 1.02 g
"Histidine", 0.041 g
"Tetradecanoic acid", 0.002 g
"Calories", 107.10 kcal
"Decanoic acid", 0.000 g
"Iron, Fe", 1.36 mg
"Magnesium, Mg", 23.80 mg
"Phosphorus, P", 37.40 mg
"Potassium, K", 333.20 mg
"Sodium, Na", 3.40 mg
"Theobromine", 0.00 mg
"Caffeine", 0.00 mg
"Octadecanoic acid", 0.002 g
"Saturated fatty acids", 0.060 g
"Alcohol, ethyl", 0.0 g
"Tyrosine", 0.037 g
"Folate, DFE", 51.00 mcg
"Glutamic acid", 0.223 g
"Folate, food", 51.00 mcg
"Octanoic acid", 0.000 g
"Octadecadienoic acid", 0.075 g
"Octadecatrienoic acid", 0.027 g
"Vitamin B6", 0.158 mg
"Folate", 51.00 mcg
"Pantothenic acid", 0.561 mg
"Docosahexaenoic n-3 acid", 0.000 g
"Polyunsaturated fatty acids", 0.102 g
"Arginine", 0.153 g
"Valine", 0.093 g
"Alanine", 0.119 g
"Folic acid", 0.00 mcg
"Vitamin B12", 0.00 mcg
"Aspartic acid", 0.269 g
"Proline", 0.109 g
"Fiber", 7.7 g
# Exported from http://www.nutritionvalue.org 
