Hexadecenoic acid,g,0.017
Niacin,mg,0.245
Riboflavin,mg,0.441
Thiamin,mg,0.098
Vitamin C,mg,1.7
Eicosapentaenoic n-3 acid,g,0.000
Theobromine,mg,0.00
Caffeine,mg,0.00
Sugars,g,46.55
Vitamin B6,mg,0.098
Folate,mcg,22.05
Vitamin B12,mcg,1.15
Fiber,g,0.0
Retinol,mcg,4.90
Vitamin A,IU,29.40
"Copper, Cu",mg,0.027
"Selenium, Se",mcg,14.7
Octadecadienoic acid,g,0.025
"Manganese, Mn",mg,0.086
Calories,kcal,232.75
Choline,mg,40.2
"Zinc, Zn",mg,1.81
"Calcium, Ca",mg,372.40
"Iron, Fe",mg,0.17
"Magnesium, Mg",mg,36.75
"Phosphorus, P",mg,291.55
"Potassium, K",mg,475.30
"Sodium, Na",mg,142.10
Serine,g,0.747
Monounsaturated fatty acids,g,0.122
Polyunsaturated fatty acids,g,0.039
Arginine,g,0.370
Valine,g,0.997
Alanine,g,0.519
Histidine,g,0.299
Glutamic acid,g,2.367
Aspartic acid,g,0.965
Proline,g,1.423
Glycine,g,0.296
Docosahexaenoic n-3 acid,g,0.000
Eicosatetraenoic acid,g,0.000
Octadecatetraenoic acid,g,0.000
Lutein + zeaxanthin,mcg,19.60
"Cryptoxanthin, beta",mcg,0.00
Lycopene,mcg,0.00
Eicosenoic acid,g,0.000
Betaine,mg,1.7
Water,g,184.73
Phenylalanine,g,0.662
Tyrosine,g,0.605
Methionine,g,0.355
Cystine,g,0.110
Leucine,g,1.215
Lysine,g,1.076
Threonine,g,0.495
Isoleucine,g,0.659
Tryptophan,g,0.069
Docosenoic acid,g,0.000
Docosapentaenoic n-3 acid,g,0.000
"Alcohol, ethyl",g,0.0
Butanoic acid,g,0.022
Saturated fatty acids,g,0.292
Cholesterol,mg,4.90
Octanoic acid,g,0.005
Hexanoic acid,g,0.002
"Carotene, alpha",mcg,0.00
Vitamin E,mg,0.15
"Vitamin A, RAE",mcg,4.90
"Carotene, beta",mcg,9.80
Vitamin D,IU,0.00
Vitamin D (D2 + D3),mcg,0.0
Protein,g,10.78
Octadecatrienoic acid,g,0.015
Carbohydrate,g,46.55
Fat,g,0.49
Ash,g,2.45
Tetradecanoic acid,g,0.042
Hexadecanoic acid,g,0.135
Decanoic acid,g,0.010
Dodecanoic acid,g,0.007
Octadecenoic acid,g,0.100
Octadecanoic acid,g,0.047
"Folate, DFE",mcg,22.05
"Folate, food",mcg,22.05
Vitamin K,mcg,2.7
Folic acid,mcg,0.00
"Tocopherol, alpha",mg,0.15
