
# Exported from http://www.nutritionvalue.org 
# Seeds, flaxseed
# Serving size 1 tbsp, ground = 7.0 g
Nutrient, Amount
"Maltose", 0.00 g
"Fructose", 0.00 g
"Lactose", 0.00 g
"Sucrose", 0.08 g
"Glucose (dextrose)", 0.03 g
"Hexadecenoic acid", 0.002 g
"Tocotrienol, alpha", 0.00 mg
"Tocotrienol, beta", 0.00 mg
"Tocotrienol, gamma", 0.00 mg
"Tocotrienol, delta", 0.00 mg
"Tocopherol, beta", 0.00 mg
"Tocopherol, gamma", 1.40 mg
"Tocopherol, delta", 0.02 mg
"Eicosapentaenoic n-3 acid", 0.000 g
"Galactose", 0.00 g
"Tetracosenoic cis acid", 0.004 g
"Cis,cis-eicosadienoic n-6 acid", 0.000 g
"Theobromine", 0.00 mg
"Caffeine", 0.00 mg
"Sugars", 0.11 g
"Vitamin B6", 0.033 mg
"Folate", 6.09 mcg
"Pantothenic acid", 0.069 mg
"Vitamin B12", 0.00 mcg
"Fiber", 1.9 g
"Retinol", 0.00 mcg
"Vitamin A", 0.00 IU
"Copper, Cu", 0.085 mg
"Selenium, Se", 1.8 mcg
"Octadecadienoic acid", 0.413 g
"Manganese, Mn", 0.174 mg
"Dihydrophylloquinone", 0.0 mcg
"Hydroxyproline", 0.012 g
"Hexadecanoic acid", 0.152 g
"Choline", 5.5 mg
"Zinc, Zn", 0.30 mg
"Calcium, Ca", 17.85 mg
"Iron, Fe", 0.40 mg
"Magnesium, Mg", 27.44 mg
"Phosphorus, P", 44.94 mg
"Potassium, K", 56.91 mg
"Sodium, Na", 2.10 mg
"Beta-sitosterol", 6.30 mg
"Serine", 0.068 g
"Monounsaturated fatty acids", 0.527 g
"Polyunsaturated fatty acids", 2.011 g
"Arginine", 0.135 g
"Valine", 0.075 g
"Alanine", 0.065 g
"Histidine", 0.033 g
"Glutamic acid", 0.283 g
"Aspartic acid", 0.143 g
"Proline", 0.056 g
"Glycine", 0.087 g
"Docosahexaenoic n-3 acid", 0.000 g
"Eicosatetraenoic acid", 0.000 g
"Octadecatetraenoic acid", 0.000 g
"Lutein + zeaxanthin", 45.57 mcg
"Docosanoic acid", 0.004 g
"Cryptoxanthin, beta", 0.00 mcg
"Lycopene", 0.00 mcg
"Eicosenoic acid", 0.005 g
"Betaine", 0.2 mg
"Water", 0.49 g
"Niacin", 0.216 mg
"Riboflavin", 0.011 mg
"Tetracosanoic acid", 0.002 g
"Thiamin", 0.115 mg
"Pentadecanoic acid", 0.000 g
"Heptadecanoic acid", 0.001 g
"Phenylalanine", 0.067 g
"Tyrosine", 0.035 g
"Methionine", 0.026 g
"Cystine", 0.024 g
"Leucine", 0.086 g
"Lysine", 0.060 g
"Threonine", 0.054 g
"Isoleucine", 0.063 g
"Tryptophan", 0.021 g
"Docosenoic acid", 0.001 g
"Docosapentaenoic n-3 acid", 0.000 g
"Vitamin C", 0.0 mg
"Stigmasterol", 0.77 mg
"Campesterol", 3.15 mg
"Alcohol, ethyl", 0.0 g
"Butanoic acid", 0.000 g
"Saturated fatty acids", 0.256 g
"Cholesterol", 0.00 mg
"Octanoic acid", 0.000 g
"Hexanoic acid", 0.000 g
"Carotene, alpha", 0.00 mcg
"Vitamin E", 0.02 mg
"Vitamin A, RAE", 0.00 mcg
"Carotene, beta", 0.00 mcg
"Vitamin D", 0.00 IU
"Vitamin D (D2 + D3)", 0.0 mcg
"Protein", 1.28 g
"Octadecatrienoic acid", 1.597 g
"Carbohydrate", 2.02 g
"Fat", 2.95 g
"Ash", 0.26 g
"Tetradecanoic acid", 0.001 g
"Calories", 37.38 kcal
"Decanoic acid", 0.000 g
"Dodecanoic acid", 0.000 g
"Octadecenoic acid", 0.515 g
"Octadecanoic acid", 0.093 g
"Eicosanoic acid", 0.004 g
"Folate, DFE", 6.09 mcg
"Folate, food", 6.09 mcg
"Vitamin K", 0.3 mcg
"Folic acid", 0.00 mcg
"Tocopherol, alpha", 0.02 mg
# Exported from http://www.nutritionvalue.org 
