
# Exported from http://www.nutritionvalue.org 
# Spices, ground, turmeric
# Serving size 1 tbsp = 9.4 g
Nutrient, Amount
"Maltose", 0.00 g
"Fructose", 0.04 g
"Lactose", 0.00 g
"Sucrose", 0.22 g
"Glucose (dextrose)", 0.04 g
"Trans-octadecenoic acid", 0.005 g
"Hexadecenoic acid", 0.000 g
"Fatty acids, total trans-monoenoic", 0.005 g
"Tridecanoic acid", 0.000 g
"Pentadecenoic acid", 0.000 g
"Tocotrienol, alpha", 0.01 mg
"Tocotrienol, beta", 0.00 mg
"Tocotrienol, gamma", 0.00 mg
"Tocotrienol, delta", 0.00 mg
"Tocopherol, beta", 0.00 mg
"Tocopherol, gamma", 0.07 mg
"Tocopherol, delta", 0.00 mg
"Eicosapentaenoic n-3 acid", 0.000 g
"Galactose", 0.00 g
"Cis-octadecenoic acid", 0.007 g
"Tetracosenoic cis acid", 0.000 g
"Cis,cis-eicosadienoic n-6 acid", 0.000 g
"Theobromine", 0.00 mg
"Caffeine", 0.00 mg
"Sugars", 0.30 g
"Vitamin B6", 0.010 mg
"Folate", 1.88 mcg
"Pantothenic acid", 0.051 mg
"Vitamin B12", 0.00 mcg
"Fiber", 2.1 g
"Retinol", 0.00 mcg
"Vitamin A", 0.00 IU
"Copper, Cu", 0.122 mg
"Selenium, Se", 0.6 mcg
"Octadecadienoic acid", 0.063 g
"Manganese, Mn", 1.861 mg
"Dihydrophylloquinone", 0.0 mcg
"Hydroxyproline", 0.000 g
"Hexadecanoic acid", 0.015 g
"Choline", 4.6 mg
"Zinc, Zn", 0.42 mg
"Calcium, Ca", 15.79 mg
"Iron, Fe", 5.17 mg
"Magnesium, Mg", 19.55 mg
"Phosphorus, P", 28.11 mg
"Potassium, K", 195.52 mg
"Sodium, Na", 2.54 mg
"Serine", 0.026 g
"Monounsaturated fatty acids", 0.042 g
"Polyunsaturated fatty acids", 0.071 g
"Arginine", 0.051 g
"Valine", 0.062 g
"Alanine", 0.031 g
"Histidine", 0.014 g
"Glutamic acid", 0.107 g
"Aspartic acid", 0.175 g
"Proline", 0.045 g
"Glycine", 0.044 g
"Docosahexaenoic n-3 acid", 0.000 g
"Eicosatetraenoic acid", 0.000 g
"Octadecatetraenoic acid", 0.000 g
"Lutein + zeaxanthin", 0.00 mcg
"Tetradecenoic acid", 0.014 g
"Docosanoic acid", 0.000 g
"Cryptoxanthin, beta", 0.00 mcg
"Lycopene", 0.00 mcg
"Eicosenoic acid", 0.000 g
"Betaine", 0.9 mg
"Water", 1.21 g
"Cis,cis,cis-octadecatrienoic n-3 acid", 0.000 g
"Niacin", 0.127 mg
"Riboflavin", 0.014 mg
"Tetracosanoic acid", 0.000 g
"Thiamin", 0.005 mg
"Pentadecanoic acid", 0.000 g
"Heptadecanoic acid", 0.031 g
"Phenylalanine", 0.050 g
"Tyrosine", 0.030 g
"Methionine", 0.013 g
"Cystine", 0.014 g
"Leucine", 0.076 g
"Lysine", 0.036 g
"Threonine", 0.031 g
"Isoleucine", 0.044 g
"Tryptophan", 0.016 g
"Docosenoic acid", 0.000 g
"Docosapentaenoic n-3 acid", 0.000 g
"Vitamin C", 0.1 mg
"Alcohol, ethyl", 0.0 g
"Fatty acids, total trans", 0.005 g
"Butanoic acid", 0.000 g
"Saturated fatty acids", 0.173 g
"Cholesterol", 0.00 mg
"Octanoic acid", 0.000 g
"Hexanoic acid", 0.000 g
"Carotene, alpha", 0.00 mcg
"Vitamin E", 0.42 mg
"Vitamin A, RAE", 0.00 mcg
"Carotene, beta", 0.00 mcg
"Vitamin D", 0.00 IU
"Vitamin D (D2 + D3)", 0.0 mcg
"Protein", 0.91 g
"Octadecatrienoic acid", 0.008 g
"Carbohydrate", 6.31 g
"Fat", 0.31 g
"Ash", 0.67 g
"Tetradecanoic acid", 0.037 g
"Calories", 29.33 kcal
"Decanoic acid", 0.080 g
"Dodecanoic acid", 0.000 g
"Octadecenoic acid", 0.012 g
"Octadecanoic acid", 0.000 g
"Eicosanoic acid", 0.009 g
"Folate, DFE", 1.88 mcg
"Folate, food", 1.88 mcg
"Eicosadienoic acid", 0.000 g
"Vitamin K", 1.3 mcg
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.008 g
"Heptadecenoic acid", 0.015 g
"Folic acid", 0.00 mcg
"Tocopherol, alpha", 0.42 mg
# Exported from http://www.nutritionvalue.org 
