Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 18:31 EST
"Nutrient data for: 09050, Blueberries, raw"
Nutrient,Unit,1.875Value per 187.5 g,"1 cup = 148.0g","50.0 berries = 68.0g",
Proximates
"Water",g,157.89,124.63,57.26
"Energy",kcal,107,84,39
"Protein",g,1.39,1.10,0.50
"Total lipid (fat)",g,0.62,0.49,0.22
"Carbohydrate, by difference",g,27.17,21.45,9.85
"Fiber, total dietary",g,4.5,3.6,1.6
"Sugars, total",g,18.68,14.74,6.77
Minerals
"Calcium, Ca",mg,11,9,4
"Iron, Fe",mg,0.52,0.41,0.19
"Magnesium, Mg",mg,11,9,4
"Phosphorus, P",mg,22,18,8
"Potassium, K",mg,144,114,52
"Sodium, Na",mg,2,1,1
"Zinc, Zn",mg,0.30,0.24,0.11
Vitamins
"Vitamin C, total ascorbic acid",mg,18.2,14.4,6.6
"Thiamin",mg,0.069,0.055,0.025
"Riboflavin",mg,0.077,0.061,0.028
"Niacin",mg,0.784,0.619,0.284
"Vitamin B-6",mg,0.097,0.077,0.035
"Folate, DFE",µg,11,9,4
"Vitamin B-12",µg,0.00,0.00,0.00
"Vitamin A, RAE",µg,6,4,2
"Vitamin A, IU",IU,101,80,37
"Vitamin E (alpha-tocopherol)",mg,1.07,0.84,0.39
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0
"Vitamin D",IU,0,0,0
"Vitamin K (phylloquinone)",µg,36.2,28.6,13.1
Lipids
"Fatty acids, total saturated",g,0.052,0.041,0.019
"Fatty acids, total monounsaturated",g,0.088,0.070,0.032
"Fatty acids, total polyunsaturated",g,0.274,0.216,0.099
"Fatty acids, total trans",g,0.000,0.000,0.000
"Cholesterol",mg,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0
