Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 18:31 EST
"Nutrient data for: 09050, Blueberries, raw"
Nutrient,Unit,1.25Value per 125 g,"1 cup = 148.0g","50.0 berries = 68.0g",
Proximates
"Water",g,105.26,124.63,57.26
"Energy",kcal,71,84,39
"Protein",g,0.92,1.10,0.50
"Total lipid (fat)",g,0.41,0.49,0.22
"Carbohydrate, by difference",g,18.11,21.45,9.85
"Fiber, total dietary",g,3.0,3.6,1.6
"Sugars, total",g,12.45,14.74,6.77
Minerals
"Calcium, Ca",mg,8,9,4
"Iron, Fe",mg,0.35,0.41,0.19
"Magnesium, Mg",mg,8,9,4
"Phosphorus, P",mg,15,18,8
"Potassium, K",mg,96,114,52
"Sodium, Na",mg,1,1,1
"Zinc, Zn",mg,0.20,0.24,0.11
Vitamins
"Vitamin C, total ascorbic acid",mg,12.1,14.4,6.6
"Thiamin",mg,0.046,0.055,0.025
"Riboflavin",mg,0.051,0.061,0.028
"Niacin",mg,0.522,0.619,0.284
"Vitamin B-6",mg,0.065,0.077,0.035
"Folate, DFE",µg,8,9,4
"Vitamin B-12",µg,0.00,0.00,0.00
"Vitamin A, RAE",µg,4,4,2
"Vitamin A, IU",IU,68,80,37
"Vitamin E (alpha-tocopherol)",mg,0.71,0.84,0.39
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0
"Vitamin D",IU,0,0,0
"Vitamin K (phylloquinone)",µg,24.1,28.6,13.1
Lipids
"Fatty acids, total saturated",g,0.035,0.041,0.019
"Fatty acids, total monounsaturated",g,0.059,0.070,0.032
"Fatty acids, total polyunsaturated",g,0.182,0.216,0.099
"Fatty acids, total trans",g,0.000,0.000,0.000
"Cholesterol",mg,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0
