Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 18:30 EST
"Nutrient data for: 09110, Goji berries, dried"
Nutrient,Unit,2.5Value per 250 g,"5.0 tbsp = 28.0g",
Proximates
"Water",g,18.75,2.10
"Energy",kcal,872,98
"Protein",g,35.65,3.99
"Total lipid (fat)",g,0.98,0.11
"Carbohydrate, by difference",g,192.65,21.58
"Fiber, total dietary",g,32.5,3.6
"Sugars, total",g,114.02,12.77
Minerals
"Calcium, Ca",mg,475,53
"Iron, Fe",mg,17.00,1.90
"Sodium, Na",mg,745,83
Vitamins
"Vitamin C, total ascorbic acid",mg,121.0,13.6
"Vitamin A, IU",IU,67055,7510
Lipids
"Fatty acids, total saturated",g,0.000,0.000
"Fatty acids, total trans",g,0.000,0.000
"Cholesterol",mg,0,0
Amino Acids
Other
