Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 18:30 EST
"Nutrient data for: 09110, Goji berries, dried"
Nutrient,Unit,1.875Value per 187.5 g,"5.0 tbsp = 28.0g",
Proximates
"Water",g,14.06,2.10
"Energy",kcal,654,98
"Protein",g,26.74,3.99
"Total lipid (fat)",g,0.73,0.11
"Carbohydrate, by difference",g,144.49,21.58
"Fiber, total dietary",g,24.4,3.6
"Sugars, total",g,85.52,12.77
Minerals
"Calcium, Ca",mg,356,53
"Iron, Fe",mg,12.75,1.90
"Sodium, Na",mg,559,83
Vitamins
"Vitamin C, total ascorbic acid",mg,90.8,13.6
"Vitamin A, IU",IU,50291,7510
Lipids
"Fatty acids, total saturated",g,0.000,0.000
"Fatty acids, total trans",g,0.000,0.000
"Cholesterol",mg,0,0
Amino Acids
Other
