Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 18:40 EST
"Nutrient data for: 09236, Peaches, yellow, raw"
Nutrient,Unit,1.25Value per 125 g,"1 cup slices = 154.0g","1 small (2-1/2"" dia) = 130.0g","1 medium (2-2/3"" dia) = 150.0g","1 large (2-3/4"" dia) = 175.0g","1 extra large (3"" dia) = 224.0g","1 NLEA serving = 147.0g",
Proximates
"Water",g,111.09,136.86,115.53,133.30,155.52,199.07,130.64
"Energy",kcal,49,60,51,58,68,87,57
"Protein",g,1.14,1.40,1.18,1.36,1.59,2.04,1.34
"Total lipid (fat)",g,0.31,0.38,0.32,0.38,0.44,0.56,0.37
"Carbohydrate, by difference",g,11.92,14.69,12.40,14.31,16.69,21.37,14.02
"Fiber, total dietary",g,1.9,2.3,2.0,2.2,2.6,3.4,2.2
"Sugars, total",g,10.49,12.92,10.91,12.58,14.68,18.79,12.33
Minerals
"Calcium, Ca",mg,8,9,8,9,10,13,9
"Iron, Fe",mg,0.31,0.38,0.32,0.38,0.44,0.56,0.37
"Magnesium, Mg",mg,11,14,12,14,16,20,13
"Phosphorus, P",mg,25,31,26,30,35,45,29
"Potassium, K",mg,238,293,247,285,332,426,279
"Sodium, Na",mg,0,0,0,0,0,0,0
"Zinc, Zn",mg,0.21,0.26,0.22,0.26,0.30,0.38,0.25
Vitamins
"Vitamin C, total ascorbic acid",mg,8.2,10.2,8.6,9.9,11.6,14.8,9.7
"Thiamin",mg,0.030,0.037,0.031,0.036,0.042,0.054,0.035
"Riboflavin",mg,0.039,0.048,0.040,0.047,0.054,0.069,0.046
"Niacin",mg,1.008,1.241,1.048,1.209,1.410,1.805,1.185
"Vitamin B-6",mg,0.031,0.038,0.032,0.038,0.044,0.056,0.037
"Folate, DFE",µg,5,6,5,6,7,9,6
"Vitamin B-12",µg,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Vitamin A, RAE",µg,20,25,21,24,28,36,24
"Vitamin A, IU",IU,408,502,424,489,570,730,479
"Vitamin E (alpha-tocopherol)",mg,0.91,1.12,0.95,1.10,1.28,1.64,1.07
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0,0,0,0
"Vitamin K (phylloquinone)",µg,3.2,4.0,3.4,3.9,4.6,5.8,3.8
Lipids
"Fatty acids, total saturated",g,0.024,0.029,0.025,0.028,0.033,0.043,0.028
"Fatty acids, total monounsaturated",g,0.084,0.103,0.087,0.100,0.117,0.150,0.098
"Fatty acids, total polyunsaturated",g,0.107,0.132,0.112,0.129,0.150,0.193,0.126
"Fatty acids, total trans",g,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Cholesterol",mg,0,0,0,0,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0,0,0,0,0
