Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 18:48 EST
"Nutrient data for: 09266, Pineapple, raw, all varieties"
Nutrient,Unit,1.875Value per 187.5 g,"1 cup, chunks = 165.0g","1 fruit = 905.0g","1 slice (4-2/3"" dia x 3/4"" thick) = 166.0g","1 slice (3-1/2"" dia x 3/4"" thick) = 84.0g","1 slice, thin (3-1/2"" dia x 1/2"" thick) = 56.0g",
Proximates
"Water",g,161.25,141.90,778.30,142.76,72.24,48.16
"Energy",kcal,94,82,452,83,42,28
"Protein",g,1.01,0.89,4.89,0.90,0.45,0.30
"Total lipid (fat)",g,0.22,0.20,1.09,0.20,0.10,0.07
"Carbohydrate, by difference",g,24.60,21.65,118.74,21.78,11.02,7.35
"Fiber, total dietary",g,2.6,2.3,12.7,2.3,1.2,0.8
"Sugars, total",g,18.47,16.25,89.14,16.35,8.27,5.52
Minerals
"Calcium, Ca",mg,24,21,118,22,11,7
"Iron, Fe",mg,0.54,0.48,2.62,0.48,0.24,0.16
"Magnesium, Mg",mg,22,20,109,20,10,7
"Phosphorus, P",mg,15,13,72,13,7,4
"Potassium, K",mg,204,180,986,181,92,61
"Sodium, Na",mg,2,2,9,2,1,1
"Zinc, Zn",mg,0.22,0.20,1.09,0.20,0.10,0.07
Vitamins
"Vitamin C, total ascorbic acid",mg,89.6,78.9,432.6,79.3,40.2,26.8
"Thiamin",mg,0.148,0.130,0.715,0.131,0.066,0.044
"Riboflavin",mg,0.060,0.053,0.290,0.053,0.027,0.018
"Niacin",mg,0.938,0.825,4.525,0.830,0.420,0.280
"Vitamin B-6",mg,0.210,0.185,1.014,0.186,0.094,0.063
"Folate, DFE",µg,34,30,163,30,15,10
"Vitamin B-12",µg,0.00,0.00,0.00,0.00,0.00,0.00
"Vitamin A, RAE",µg,6,5,27,5,3,2
"Vitamin A, IU",IU,109,96,525,96,49,32
"Vitamin E (alpha-tocopherol)",mg,0.04,0.03,0.18,0.03,0.02,0.01
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0,0,0
"Vitamin K (phylloquinone)",µg,1.3,1.2,6.3,1.2,0.6,0.4
Lipids
"Fatty acids, total saturated",g,0.017,0.015,0.081,0.015,0.008,0.005
"Fatty acids, total monounsaturated",g,0.024,0.021,0.118,0.022,0.011,0.007
"Fatty acids, total polyunsaturated",g,0.075,0.066,0.362,0.066,0.034,0.022
"Fatty acids, total trans",g,0.000,0.000,0.000,0.000,0.000,0.000
"Cholesterol",mg,0,0,0,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0,0,0,0
Footnotes
(a)"Values based on data weighted 80% extra sweet variety, 20% traditional varieties."
