Source: USDA National Nutrient Database for Standard Reference 27 Software v.2.3.8
Basic Report
Report Run at: February 28, 2016 02:22 EST
"Nutrient data for: 12195, Nuts, almond butter, plain, without salt added"
Nutrient,Unit,0.16Value per 16 g,"1 tbsp = 16.0g","1 cup = 250.0g",
Proximates
"Water",g,0.26,0.26,4.10
"Energy",kcal,98,98,1535
"Protein",g,3.35,3.35,52.40
"Total lipid (fat)",g,8.88,8.88,138.75
"Carbohydrate, by difference",g,3.01,3.01,47.05
"Fiber, total dietary",g,1.6,1.6,25.8
"Sugars, total",g,0.71,0.71,11.08
Minerals
"Calcium, Ca",mg,56,56,868
"Iron, Fe",mg,0.56,0.56,8.72
"Magnesium, Mg",mg,45,45,698
"Phosphorus, P",mg,81,81,1270
"Potassium, K",mg,120,120,1870
"Sodium, Na",mg,1,1,18
"Zinc, Zn",mg,0.53,0.53,8.22
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Thiamin",mg,0.007,0.007,0.102
"Riboflavin",mg,0.150,0.150,2.348
"Niacin",mg,0.505,0.505,7.888
"Vitamin B-6",mg,0.016,0.016,0.258
"Folate, DFE",µg,8,8,132
"Vitamin B-12",µg,0.00,0.00,0.00
"Vitamin A, RAE",µg,0,0,0
"Vitamin A, IU",IU,0,0,2
"Vitamin E (alpha-tocopherol)",mg,3.87,3.87,60.52
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0
"Vitamin D",IU,0,0,0
"Vitamin K (phylloquinone)",µg,0.0,0.0,0.0
Lipids
"Fatty acids, total saturated",g,0.664,0.664,10.380
"Fatty acids, total monounsaturated",g,5.191,5.191,81.112
"Fatty acids, total polyunsaturated",g,2.178,2.178,34.032
"Cholesterol",mg,0,0,0
Amino Acids
Other
