Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 19:37 EST
"Nutrient data for: 43537, Babyfood, dessert, blueberry yogurt, strained"
Nutrient,Unit,2.5Value per 250 g,"1 tbsp = 15.0g","1 jar NFS = 113.0g","1 jar Heinz Strained-2 (4 oz) = 113.0g",
Proximates
"Water",g,203.50,12.21,91.98,91.98
"Energy",kcal,192,12,87,87
"Protein",g,1.25,0.08,0.56,0.56
"Total lipid (fat)",g,1.75,0.10,0.79,0.79
"Carbohydrate, by difference",g,42.62,2.56,19.27,19.27
"Fiber, total dietary",g,1.0,0.1,0.5,0.5
"Sugars, total",g,34.05,2.04,15.39,15.39
Minerals
"Calcium, Ca",mg,62,4,28,28
"Iron, Fe",mg,0.50,0.03,0.23,0.23
"Magnesium, Mg",mg,32,2,15,15
"Phosphorus, P",mg,272,16,123,123
"Potassium, K",mg,155,9,70,70
"Sodium, Na",mg,35,2,16,16
"Zinc, Zn",mg,0.35,0.02,0.16,0.16
Vitamins
"Vitamin C, total ascorbic acid",mg,31.0,1.9,14.0,14.0
"Thiamin",mg,0.000,0.000,0.000,0.000
"Riboflavin",mg,0.100,0.006,0.045,0.045
"Niacin",mg,0.350,0.021,0.158,0.158
"Vitamin B-6",mg,1.000,0.060,0.452,0.452
"Folate, DFE",µg,20,1,9,9
"Vitamin B-12",µg,1.08,0.06,0.49,0.49
"Vitamin A, RAE",µg,8,0,3,3
"Vitamin A, IU",IU,102,6,46,46
"Vitamin E (alpha-tocopherol)",mg,1.00,0.06,0.45,0.45
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0
"Vitamin K (phylloquinone)",µg,33.2,2.0,15.0,15.0
Lipids
"Fatty acids, total saturated",g,1.130,0.068,0.511,0.511
"Fatty acids, total monounsaturated",g,0.480,0.029,0.217,0.217
"Fatty acids, total polyunsaturated",g,0.048,0.003,0.021,0.021
"Cholesterol",mg,10,1,5,5
Amino Acids
Other
"Caffeine",mg,0,0,0,0
