Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 19:42 EST
"Nutrient data for: 01276, Yogurt, Greek, strawberry, DANNON OIKOS"
Nutrient,Unit,.625Value per 62.5 g,"5.3 oz = 150.0g",
Proximates
"Water",g,47.88,114.90
"Energy",kcal,66,159
"Protein",g,5.16,12.38
"Total lipid (fat)",g,1.82,4.38
"Carbohydrate, by difference",g,7.29,17.50
"Fiber, total dietary",g,0.6,1.5
"Sugars, total",g,6.88,16.50
Minerals
"Calcium, Ca",mg,54,129
"Iron, Fe",mg,0.04,0.11
"Magnesium, Mg",mg,6,15
"Phosphorus, P",mg,69,165
"Potassium, K",mg,82,196
"Sodium, Na",mg,21,51
"Zinc, Zn",mg,0.24,0.58
Vitamins
"Thiamin",mg,0.022,0.054
"Riboflavin",mg,0.142,0.340
"Niacin",mg,0.131,0.315
"Vitamin B-6",mg,0.031,0.075
"Vitamin B-12",µg,0.35,0.84
"Vitamin A, RAE",µg,1,2
"Vitamin A, IU",IU,8,20
"Vitamin D (D2 + D3)",µg,0.0,0.0
"Vitamin D",IU,0,0
Lipids
"Fatty acids, total saturated",g,1.145,2.748
"Fatty acids, total monounsaturated",g,0.466,1.118
"Fatty acids, total polyunsaturated",g,0.082,0.196
"Fatty acids, total trans",g,0.053,0.128
"Cholesterol",mg,8,20
Amino Acids
Other
