Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 19:47 EST
"Nutrient data for: 01276, Yogurt, Greek, strawberry, DANNON OIKOS"
Nutrient,Unit,62.5Value per 6,250 g,"5.3 oz = 150.0g",
Proximates
"Water",g,4787.50,114.90
"Energy",kcal,6625,159
"Protein",g,515.62,12.38
"Total lipid (fat)",g,182.50,4.38
"Carbohydrate, by difference",g,729.38,17.50
"Fiber, total dietary",g,62.5,1.5
"Sugars, total",g,687.50,16.50
Minerals
"Calcium, Ca",mg,5375,129
"Iron, Fe",mg,4.38,0.11
"Magnesium, Mg",mg,625,15
"Phosphorus, P",mg,6875,165
"Potassium, K",mg,8188,196
"Sodium, Na",mg,2125,51
"Zinc, Zn",mg,24.38,0.58
Vitamins
"Thiamin",mg,2.250,0.054
"Riboflavin",mg,14.188,0.340
"Niacin",mg,13.125,0.315
"Vitamin B-6",mg,3.125,0.075
"Vitamin B-12",µg,35.00,0.84
"Vitamin A, RAE",µg,62,2
"Vitamin A, IU",IU,812,20
"Vitamin D (D2 + D3)",µg,0.0,0.0
"Vitamin D",IU,0,0
Lipids
"Fatty acids, total saturated",g,114.500,2.748
"Fatty acids, total monounsaturated",g,46.562,1.118
"Fatty acids, total polyunsaturated",g,8.188,0.196
"Fatty acids, total trans",g,5.312,0.128
"Cholesterol",mg,812,20
Amino Acids
Other
