Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 19:38 EST
"Nutrient data for: 01284, Yogurt, Greek, strawberry, lowfat"
Nutrient,Unit,.625Value per 62.5 g,"1 container (5.3 oz) = 150.0g",
Proximates
"Water",g,48.01,115.22
"Energy",kcal,64,154
"Protein",g,5.11,12.26
"Total lipid (fat)",g,1.61,3.86
"Carbohydrate, by difference",g,7.43,17.84
"Fiber, total dietary",g,0.6,1.5
"Sugars, total",g,7.02,16.84
Minerals
"Calcium, Ca",mg,55,132
"Iron, Fe",mg,0.04,0.11
"Magnesium, Mg",mg,6,15
"Phosphorus, P",mg,68,164
"Potassium, K",mg,81,194
"Sodium, Na",mg,21,50
"Zinc, Zn",mg,0.26,0.61
Vitamins
"Vitamin C, total ascorbic acid",mg,0.4,1.0
"Thiamin",mg,0.023,0.056
"Riboflavin",mg,0.147,0.352
"Niacin",mg,0.128,0.307
"Vitamin B-6",mg,0.031,0.074
"Folate, DFE",µg,6,14
"Vitamin B-12",µg,0.31,0.75
"Vitamin A, RAE",µg,19,46
"Vitamin A, IU",IU,69,166
"Vitamin E (alpha-tocopherol)",mg,0.01,0.03
"Vitamin D (D2 + D3)",µg,0.0,0.0
"Vitamin D",IU,0,0
"Vitamin K (phylloquinone)",µg,0.0,0.0
Lipids
"Fatty acids, total saturated",g,0.999,2.398
"Fatty acids, total monounsaturated",g,0.406,0.975
"Fatty acids, total polyunsaturated",g,0.071,0.169
"Fatty acids, total trans",g,0.046,0.111
"Cholesterol",mg,8,18
Amino Acids
Other
"Caffeine",mg,0,0
