Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 19:38 EST
"Nutrient data for: 01284, Yogurt, Greek, strawberry, lowfat"
Nutrient,Unit,1.25Value per 125 g,"1 container (5.3 oz) = 150.0g",
Proximates
"Water",g,96.01,115.22
"Energy",kcal,129,154
"Protein",g,10.21,12.26
"Total lipid (fat)",g,3.21,3.86
"Carbohydrate, by difference",g,14.86,17.84
"Fiber, total dietary",g,1.2,1.5
"Sugars, total",g,14.04,16.84
Minerals
"Calcium, Ca",mg,110,132
"Iron, Fe",mg,0.09,0.11
"Magnesium, Mg",mg,12,15
"Phosphorus, P",mg,136,164
"Potassium, K",mg,161,194
"Sodium, Na",mg,41,50
"Zinc, Zn",mg,0.51,0.61
Vitamins
"Vitamin C, total ascorbic acid",mg,0.9,1.0
"Thiamin",mg,0.046,0.056
"Riboflavin",mg,0.294,0.352
"Niacin",mg,0.256,0.307
"Vitamin B-6",mg,0.061,0.074
"Folate, DFE",µg,11,14
"Vitamin B-12",µg,0.62,0.75
"Vitamin A, RAE",µg,39,46
"Vitamin A, IU",IU,139,166
"Vitamin E (alpha-tocopherol)",mg,0.02,0.03
"Vitamin D (D2 + D3)",µg,0.0,0.0
"Vitamin D",IU,0,0
"Vitamin K (phylloquinone)",µg,0.0,0.0
Lipids
"Fatty acids, total saturated",g,1.999,2.398
"Fatty acids, total monounsaturated",g,0.812,0.975
"Fatty acids, total polyunsaturated",g,0.141,0.169
"Fatty acids, total trans",g,0.092,0.111
"Cholesterol",mg,15,18
Amino Acids
Other
"Caffeine",mg,0,0
