Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 19:43 EST
"Nutrient data for: 01297, Yogurt, Greek, vanilla, lowfat"
Nutrient,Unit,.625Value per 62.5 g,
Proximates
"Water",g,49.22,
"Energy",kcal,59,
"Protein",g,5.40,
"Total lipid (fat)",g,1.56,
"Carbohydrate, by difference",g,5.96,
"Fiber, total dietary",g,0.0,
"Sugars, total",g,5.96,
Minerals
"Calcium, Ca",mg,62,
"Iron, Fe",mg,0.02,
"Magnesium, Mg",mg,6,
"Phosphorus, P",mg,74,
"Potassium, K",mg,77,
"Sodium, Na",mg,25,
"Zinc, Zn",mg,0.29,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.024,
"Riboflavin",mg,0.150,
"Niacin",mg,0.126,
"Vitamin B-6",mg,0.031,
"Folate, DFE",µg,6,
"Vitamin B-12",µg,0.40,
"Vitamin A, RAE",µg,69,
"Vitamin A, IU",IU,232,
"Vitamin E (alpha-tocopherol)",mg,0.01,
"Vitamin D (D2 + D3)",µg,0.6,
"Vitamin D",IU,22,
"Vitamin K (phylloquinone)",µg,0.1,
Lipids
"Fatty acids, total saturated",g,0.916,
"Fatty acids, total monounsaturated",g,0.529,
"Fatty acids, total polyunsaturated",g,0.127,
"Fatty acids, total trans",g,0.000,
"Cholesterol",mg,3,
Amino Acids
Other
"Caffeine",mg,0,
