Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 19:44 EST
"Nutrient data for: 01297, Yogurt, Greek, vanilla, lowfat"
Nutrient,Unit,1.875Value per 187.5 g,
Proximates
"Water",g,147.68,
"Energy",kcal,178,
"Protein",g,16.20,
"Total lipid (fat)",g,4.69,
"Carbohydrate, by difference",g,17.89,
"Fiber, total dietary",g,0.0,
"Sugars, total",g,17.89,
Minerals
"Calcium, Ca",mg,188,
"Iron, Fe",mg,0.08,
"Magnesium, Mg",mg,19,
"Phosphorus, P",mg,223,
"Potassium, K",mg,231,
"Sodium, Na",mg,75,
"Zinc, Zn",mg,0.86,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.071,
"Riboflavin",mg,0.450,
"Niacin",mg,0.377,
"Vitamin B-6",mg,0.094,
"Folate, DFE",µg,17,
"Vitamin B-12",µg,1.20,
"Vitamin A, RAE",µg,206,
"Vitamin A, IU",IU,696,
"Vitamin E (alpha-tocopherol)",mg,0.04,
"Vitamin D (D2 + D3)",µg,1.7,
"Vitamin D",IU,66,
"Vitamin K (phylloquinone)",µg,0.4,
Lipids
"Fatty acids, total saturated",g,2.747,
"Fatty acids, total monounsaturated",g,1.586,
"Fatty acids, total polyunsaturated",g,0.381,
"Fatty acids, total trans",g,0.000,
"Cholesterol",mg,9,
Amino Acids
Other
"Caffeine",mg,0,
