Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 19:44 EST
"Nutrient data for: 01297, Yogurt, Greek, vanilla, lowfat"
Nutrient,Unit,2.5Value per 250 g,
Proximates
"Water",g,196.90,
"Energy",kcal,238,
"Protein",g,21.60,
"Total lipid (fat)",g,6.25,
"Carbohydrate, by difference",g,23.85,
"Fiber, total dietary",g,0.0,
"Sugars, total",g,23.85,
Minerals
"Calcium, Ca",mg,250,
"Iron, Fe",mg,0.10,
"Magnesium, Mg",mg,25,
"Phosphorus, P",mg,298,
"Potassium, K",mg,308,
"Sodium, Na",mg,100,
"Zinc, Zn",mg,1.15,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.095,
"Riboflavin",mg,0.600,
"Niacin",mg,0.503,
"Vitamin B-6",mg,0.125,
"Folate, DFE",µg,22,
"Vitamin B-12",µg,1.60,
"Vitamin A, RAE",µg,275,
"Vitamin A, IU",IU,928,
"Vitamin E (alpha-tocopherol)",mg,0.05,
"Vitamin D (D2 + D3)",µg,2.2,
"Vitamin D",IU,88,
"Vitamin K (phylloquinone)",µg,0.5,
Lipids
"Fatty acids, total saturated",g,3.662,
"Fatty acids, total monounsaturated",g,2.115,
"Fatty acids, total polyunsaturated",g,0.508,
"Fatty acids, total trans",g,0.000,
"Cholesterol",mg,12,
Amino Acids
Other
"Caffeine",mg,0,
