Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 19:27 EST
"Nutrient data for: 43536, Babyfood, dessert, peach yogurt"
Nutrient,Unit,.625Value per 62.5 g,"1 tbsp = 15.0g","1 jar NFS = 113.0g","1 jar Gerber Second Food (4 oz) = 113.0g","1 jar Beech-Nut Stage 2 (4 oz) = 113.0g","1 jar Heinz Strained-2 (4 oz) = 113.0g",
Proximates
"Water",g,50.54,12.13,91.38,91.38,91.38,91.38
"Energy",kcal,48,11,86,86,86,86
"Protein",g,0.56,0.14,1.02,1.02,1.02,1.02
"Total lipid (fat)",g,0.11,0.03,0.20,0.20,0.20,0.20
"Carbohydrate, by difference",g,11.00,2.64,19.89,19.89,19.89,19.89
"Fiber, total dietary",g,0.2,0.1,0.5,0.5,0.5,0.5
"Sugars, total",g,6.94,1.67,12.55,12.55,12.55,12.55
Minerals
"Calcium, Ca",mg,17,4,31,31,31,31
"Iron, Fe",mg,0.25,0.06,0.45,0.45,0.45,0.45
"Magnesium, Mg",mg,8,2,15,15,15,15
"Phosphorus, P",mg,17,4,31,31,31,31
"Potassium, K",mg,64,15,115,115,115,115
"Sodium, Na",mg,9,2,16,16,16,16
"Zinc, Zn",mg,0.11,0.03,0.20,0.20,0.20,0.20
Vitamins
"Vitamin C, total ascorbic acid",mg,7.3,1.8,13.2,13.2,13.2,13.2
"Thiamin",mg,0.006,0.002,0.011,0.011,0.011,0.011
"Riboflavin",mg,0.031,0.008,0.056,0.056,0.056,0.056
"Niacin",mg,0.250,0.060,0.452,0.452,0.452,0.452
"Vitamin B-6",mg,0.012,0.003,0.023,0.023,0.023,0.023
"Folate, DFE",µg,5,1,9,9,9,9
"Vitamin B-12",µg,0.27,0.06,0.49,0.49,0.49,0.49
"Vitamin A, RAE",µg,1,0,1,1,1,1
"Vitamin A, IU",IU,2,0,3,3,3,3
"Vitamin E (alpha-tocopherol)",mg,0.00,0.00,0.00,0.00,0.00,0.00
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0,0,0
"Vitamin K (phylloquinone)",µg,0.0,0.0,0.0,0.0,0.0,0.0
Lipids
"Fatty acids, total saturated",g,0.073,0.018,0.132,0.132,0.132,0.132
"Fatty acids, total monounsaturated",g,0.030,0.007,0.054,0.054,0.054,0.054
"Fatty acids, total polyunsaturated",g,0.003,0.001,0.006,0.006,0.006,0.006
"Cholesterol",mg,2,1,5,5,5,5
Amino Acids
Other
"Caffeine",mg,0,0,0,0,0,0
