Source: USDA National Nutrient Database for Standard Reference 27 Software v.2.3.8
Basic Report
Report Run at: February 28, 2016 02:24 EST
"Nutrient data for: 16122, Soy protein isolate"
Nutrient,Unit,0.28Value per 28 g,"1 oz = 28.35g",
Proximates
"Water",g,1.39,1.41
"Energy",kcal,94,95
"Protein",g,24.73,25.04
"Total lipid (fat)",g,0.95,0.96
"Carbohydrate, by difference",g,0.00,0.00
"Fiber, total dietary",g,0.0,0.0
"Sugars, total",g,0.00,0.00
Minerals
"Calcium, Ca",mg,50,50
"Iron, Fe",mg,4.06,4.11
"Magnesium, Mg",mg,11,11
"Phosphorus, P",mg,217,220
"Potassium, K",mg,23,23
"Sodium, Na",mg,281,285
"Zinc, Zn",mg,1.13,1.14
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0
"Thiamin",mg,0.049,0.050
"Riboflavin",mg,0.028,0.028
"Niacin",mg,0.403,0.408
"Vitamin B-6",mg,0.028,0.028
"Folate, DFE",µg,49,50
"Vitamin B-12",µg,0.00,0.00
"Vitamin A, RAE",µg,0,0
"Vitamin A, IU",IU,0,0
"Vitamin E (alpha-tocopherol)",mg,0.00,0.00
"Vitamin D (D2 + D3)",µg,0.0,0.0
"Vitamin D",IU,0,0
"Vitamin K (phylloquinone)",µg,0.0,0.0
Lipids
"Fatty acids, total saturated",g,0.118,0.120
"Fatty acids, total monounsaturated",g,0.181,0.183
"Fatty acids, total polyunsaturated",g,0.461,0.467
"Fatty acids, total trans",g,0.000,0.000
"Cholesterol",mg,0,0
Amino Acids
Other
"Caffeine",mg,0,0
