Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 19:30 EST
"Nutrient data for: 01295, Yogurt, vanilla, non-fat"
Nutrient,Unit,1.875Value per 187.5 g,"1 cup (8 fl oz) = 245.0g","1 container (8 oz) = 227.0g","0.5 container (4 oz) = 113.0g",
Proximates
"Water",g,148.12,193.55,179.33,89.27
"Energy",kcal,146,191,177,88
"Protein",g,5.51,7.20,6.67,3.32
"Total lipid (fat)",g,0.00,0.00,0.00,0.00
"Carbohydrate, by difference",g,31.95,41.75,38.68,19.26
"Fiber, total dietary",g,0.0,0.0,0.0,0.0
"Sugars, total",g,11.02,14.41,13.35,6.64
Minerals
"Calcium, Ca",mg,221,289,268,133
"Iron, Fe",mg,0.00,0.00,0.00,0.00
"Magnesium, Mg",mg,30,39,36,18
"Phosphorus, P",mg,165,216,200,99
"Potassium, K",mg,264,345,320,159
"Sodium, Na",mg,88,115,107,53
"Zinc, Zn",mg,1.56,2.03,1.88,0.94
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0,0.0
"Thiamin",mg,0.079,0.103,0.095,0.047
"Riboflavin",mg,0.375,0.490,0.454,0.226
"Niacin",mg,0.201,0.262,0.243,0.121
"Vitamin B-6",mg,0.084,0.110,0.102,0.051
"Folate, DFE",µg,21,27,25,12
"Vitamin B-12",µg,0.99,1.30,1.20,0.60
"Vitamin A, RAE",µg,114,149,138,69
"Vitamin A, IU",IU,382,500,463,231
"Vitamin E (alpha-tocopherol)",mg,0.02,0.02,0.02,0.01
"Vitamin D (D2 + D3)",µg,1.7,2.2,2.0,1.0
"Vitamin D",IU,66,86,79,40
"Vitamin K (phylloquinone)",µg,0.0,0.0,0.0,0.0
Lipids
"Fatty acids, total saturated",g,0.000,0.000,0.000,0.000
"Fatty acids, total monounsaturated",g,0.000,0.000,0.000,0.000
"Fatty acids, total polyunsaturated",g,0.000,0.000,0.000,0.000
"Cholesterol",mg,6,7,7,3
Amino Acids
Other
"Caffeine",mg,0,0,0,0
