Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 16:08 EST
"Nutrient data for: 02003, Spices, basil, dried"
Nutrient,Unit,2Value per 200 g,"2 tsp, leaves = 1.4g","2 tbsp, leaves = 4.2g","2 tsp, ground = 2.8g","2 tbsp, ground = 9.0g",
Proximates
"Water",g,20.70,0.14,0.43,0.29,0.93
"Energy",kcal,466,3,10,7,21
"Protein",g,45.96,0.32,0.97,0.64,2.07
"Total lipid (fat)",g,8.14,0.06,0.17,0.11,0.37
"Carbohydrate, by difference",g,95.50,0.67,2.01,1.34,4.30
"Fiber, total dietary",g,75.4,0.5,1.6,1.1,3.4
"Sugars, total",g,3.42,0.02,0.07,0.05,0.15
Minerals
"Calcium, Ca",mg,4480,31,94,63,202
"Iron, Fe",mg,179.60,1.26,3.77,2.51,8.08
"Magnesium, Mg",mg,1422,10,30,20,64
"Phosphorus, P",mg,548,4,12,8,25
"Potassium, K",mg,5260,37,110,74,237
"Sodium, Na",mg,152,1,3,2,7
"Zinc, Zn",mg,14.20,0.10,0.30,0.20,0.64
Vitamins
"Vitamin C, total ascorbic acid",mg,1.6,0.0,0.0,0.0,0.1
"Thiamin",mg,0.160,0.001,0.003,0.002,0.007
"Riboflavin",mg,2.400,0.017,0.050,0.034,0.108
"Niacin",mg,9.800,0.069,0.206,0.137,0.441
"Vitamin B-6",mg,2.680,0.019,0.056,0.038,0.121
"Folate, DFE",µg,620,4,13,9,28
"Vitamin B-12",µg,0.00,0.00,0.00,0.00,0.00
"Vitamin A, RAE",µg,74,1,2,1,3
"Vitamin A, IU",IU,1488,10,31,21,67
"Vitamin E (alpha-tocopherol)",mg,21.40,0.15,0.45,0.30,0.96
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0,0
"Vitamin K (phylloquinone)",µg,3429.0,24.0,72.0,48.0,154.3
Lipids
"Fatty acids, total saturated",g,4.314,0.030,0.091,0.060,0.194
"Fatty acids, total monounsaturated",g,2.476,0.017,0.052,0.035,0.111
"Fatty acids, total polyunsaturated",g,0.996,0.007,0.021,0.014,0.045
"Fatty acids, total trans",g,0.000,0.000,0.000,0.000,0.000
"Cholesterol",mg,0,0,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0,0,0
