Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 16:33 EST
"Nutrient data for: 02030, Spices, pepper, black"
Nutrient,Unit,3Value per 300 g,"3 tsp, ground = 6.9g","3 tbsp, ground = 20.7g","3 tsp, whole = 8.7g","3 dash = 0.3g",
Proximates
"Water",g,37.38,0.86,2.58,1.08,0.04
"Energy",kcal,753,17,52,22,1
"Protein",g,31.17,0.72,2.15,0.90,0.03
"Total lipid (fat)",g,9.78,0.22,0.67,0.28,0.01
"Carbohydrate, by difference",g,191.85,4.41,13.24,5.56,0.19
"Fiber, total dietary",g,75.9,1.7,5.2,2.2,0.1
"Sugars, total",g,1.92,0.04,0.13,0.06,0.00
Minerals
"Calcium, Ca",mg,1329,31,92,39,1
"Iron, Fe",mg,29.13,0.67,2.01,0.84,0.03
"Magnesium, Mg",mg,513,12,35,15,1
"Phosphorus, P",mg,474,11,33,14,0
"Potassium, K",mg,3987,92,275,116,4
"Sodium, Na",mg,60,1,4,2,0
"Zinc, Zn",mg,3.57,0.08,0.25,0.10,0.00
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0,0.0,0.0
"Thiamin",mg,0.324,0.007,0.022,0.009,0.000
"Riboflavin",mg,0.540,0.012,0.037,0.016,0.001
"Niacin",mg,3.429,0.079,0.237,0.099,0.003
"Vitamin B-6",mg,0.873,0.020,0.060,0.025,0.001
"Folate, DFE",µg,51,1,4,1,0
"Vitamin B-12",µg,0.00,0.00,0.00,0.00,0.00
"Vitamin A, RAE",µg,81,2,6,2,0
"Vitamin A, IU",IU,1641,38,113,48,2
"Vitamin E (alpha-tocopherol)",mg,3.12,0.07,0.22,0.09,0.00
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0,0
"Vitamin K (phylloquinone)",µg,491.1,11.3,33.9,14.2,0.5
Lipids
"Fatty acids, total saturated",g,4.176,0.096,0.288,0.121,0.004
"Fatty acids, total monounsaturated",g,2.217,0.051,0.153,0.064,0.002
"Fatty acids, total polyunsaturated",g,2.994,0.069,0.207,0.087,0.003
"Fatty acids, total trans",g,0.000,0.000,0.000,0.000,0.000
"Cholesterol",mg,0,0,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0,0,0
Footnotes
(a)"Total proximates do not equal 100% because piperine was subtracted from lipid value."
