Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 16:34 EST
"Nutrient data for: 19334, Sugars, brown"
Nutrient,Unit,2Value per 200 g,"1.5 tsp unpacked = 4.5g","1.5 cup packed = 330.0g","1.5 cup unpacked = 217.5g","1.5 tsp packed = 6.9g","1.5 tsp brownulated = 4.8g",
Proximates
"Water",g,2.68,0.06,4.42,2.91,0.09,0.06
"Energy",kcal,760,17,1254,826,26,18
"Protein",g,0.24,0.01,0.40,0.26,0.01,0.01
"Total lipid (fat)",g,0.00,0.00,0.00,0.00,0.00,0.00
"Carbohydrate, by difference",g,196.18,4.41,323.70,213.35,6.77,4.71
"Fiber, total dietary",g,0.0,0.0,0.0,0.0,0.0,0.0
"Sugars, total",g,194.04,4.37,320.17,211.02,6.69,4.66
Minerals
"Calcium, Ca",mg,166,4,274,181,6,4
"Iron, Fe",mg,1.42,0.03,2.34,1.54,0.05,0.03
"Magnesium, Mg",mg,18,0,30,20,1,0
"Phosphorus, P",mg,8,0,13,9,0,0
"Potassium, K",mg,266,6,439,289,9,6
"Sodium, Na",mg,56,1,92,61,2,1
"Zinc, Zn",mg,0.06,0.00,0.10,0.07,0.00,0.00
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0,0.0,0.0,0.0
"Thiamin",mg,0.000,0.000,0.000,0.000,0.000,0.000
"Riboflavin",mg,0.000,0.000,0.000,0.000,0.000,0.000
"Niacin",mg,0.220,0.005,0.363,0.239,0.008,0.005
"Vitamin B-6",mg,0.082,0.002,0.135,0.089,0.003,0.002
"Folate, DFE",µg,2,0,3,2,0,0
"Vitamin B-12",µg,0.00,0.00,0.00,0.00,0.00,0.00
"Vitamin A, RAE",µg,0,0,0,0,0,0
"Vitamin A, IU",IU,0,0,0,0,0,0
"Vitamin E (alpha-tocopherol)",mg,0.00,0.00,0.00,0.00,0.00,0.00
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0,0,0
"Vitamin K (phylloquinone)",µg,0.0,0.0,0.0,0.0,0.0,0.0
Lipids
"Fatty acids, total saturated",g,0.000,0.000,0.000,0.000,0.000,0.000
"Fatty acids, total monounsaturated",g,0.000,0.000,0.000,0.000,0.000,0.000
"Fatty acids, total polyunsaturated",g,0.000,0.000,0.000,0.000,0.000,0.000
"Cholesterol",mg,0,0,0,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0,0,0,0
