Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 16:24 EST
"Nutrient data for: 02010, Spices, cinnamon, ground"
Nutrient,Unit,2Value per 200 g,"1 tsp = 2.6g","1 tbsp = 7.8g",
Proximates
"Water",g,21.16,0.28,0.83
"Energy",kcal,494,6,19
"Protein",g,7.98,0.10,0.31
"Total lipid (fat)",g,2.48,0.03,0.10
"Carbohydrate, by difference",g,161.18,2.10,6.29
"Fiber, total dietary",g,106.2,1.4,4.1
"Sugars, total",g,4.34,0.06,0.17
Minerals
"Calcium, Ca",mg,2004,26,78
"Iron, Fe",mg,16.64,0.22,0.65
"Magnesium, Mg",mg,120,2,5
"Phosphorus, P",mg,128,2,5
"Potassium, K",mg,862,11,34
"Sodium, Na",mg,20,0,1
"Zinc, Zn",mg,3.66,0.05,0.14
Vitamins
"Vitamin C, total ascorbic acid",mg,7.6,0.1,0.3
"Thiamin",mg,0.044,0.001,0.002
"Riboflavin",mg,0.082,0.001,0.003
"Niacin",mg,2.664,0.035,0.104
"Vitamin B-6",mg,0.316,0.004,0.012
"Folate, DFE",µg,12,0,0
"Vitamin B-12",µg,0.00,0.00,0.00
"Vitamin A, RAE",µg,30,0,1
"Vitamin A, IU",IU,590,8,23
"Vitamin E (alpha-tocopherol)",mg,4.64,0.06,0.18
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0
"Vitamin D",IU,0,0,0
"Vitamin K (phylloquinone)",µg,62.4,0.8,2.4
Lipids
"Fatty acids, total saturated",g,0.690,0.009,0.027
"Fatty acids, total monounsaturated",g,0.492,0.006,0.019
"Fatty acids, total polyunsaturated",g,0.136,0.002,0.005
"Fatty acids, total trans",g,0.000,0.000,0.000
"Cholesterol",mg,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0
