Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 16:19 EST
"Nutrient data for: 11215, Garlic, raw"
Nutrient,Unit,3Value per 300 g,"3 cup = 408.0g","3 tsp = 8.4g","3 clove = 9.0g","5.0 cloves = 15.0g",
Proximates
"Water",g,175.74,239.01,4.92,5.27,8.79
"Energy",kcal,447,608,13,13,22
"Protein",g,19.08,25.95,0.53,0.57,0.95
"Total lipid (fat)",g,1.50,2.04,0.04,0.04,0.08
"Carbohydrate, by difference",g,99.18,134.88,2.78,2.98,4.96
"Fiber, total dietary",g,6.3,8.6,0.2,0.2,0.3
"Sugars, total",g,3.00,4.08,0.08,0.09,0.15
Minerals
"Calcium, Ca",mg,543,738,15,16,27
"Iron, Fe",mg,5.10,6.94,0.14,0.15,0.26
"Magnesium, Mg",mg,75,102,2,2,4
"Phosphorus, P",mg,459,624,13,14,23
"Potassium, K",mg,1203,1636,34,36,60
"Sodium, Na",mg,51,69,1,2,3
"Zinc, Zn",mg,3.48,4.73,0.10,0.10,0.17
Vitamins
"Vitamin C, total ascorbic acid",mg,93.6,127.3,2.6,2.8,4.7
"Thiamin",mg,0.600,0.816,0.017,0.018,0.030
"Riboflavin",mg,0.330,0.449,0.009,0.010,0.016
"Niacin",mg,2.100,2.856,0.059,0.063,0.105
"Vitamin B-6",mg,3.705,5.039,0.104,0.111,0.185
"Folate, DFE",µg,9,12,0,0,0
"Vitamin B-12",µg,0.00,0.00,0.00,0.00,0.00
"Vitamin A, RAE",µg,0,0,0,0,0
"Vitamin A, IU",IU,27,37,1,1,1
"Vitamin E (alpha-tocopherol)",mg,0.24,0.33,0.01,0.01,0.01
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0,0
"Vitamin K (phylloquinone)",µg,5.1,6.9,0.1,0.2,0.3
Lipids
"Fatty acids, total saturated",g,0.267,0.363,0.007,0.008,0.013
"Fatty acids, total monounsaturated",g,0.033,0.045,0.001,0.001,0.002
"Fatty acids, total polyunsaturated",g,0.747,1.016,0.021,0.022,0.037
"Fatty acids, total trans",g,0.000,0.000,0.000,0.000,0.000
"Cholesterol",mg,0,0,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0,0,0
