Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 16:17 EST
"Nutrient data for: 02020, Spices, garlic powder"
Nutrient,Unit,2Value per 200 g,"1.5 tsp = 4.65g","1.5 tbsp = 14.55g",
Proximates
"Water",g,12.90,0.30,0.94
"Energy",kcal,662,15,48
"Protein",g,33.10,0.77,2.41
"Total lipid (fat)",g,1.46,0.03,0.11
"Carbohydrate, by difference",g,145.46,3.38,10.58
"Fiber, total dietary",g,18.0,0.4,1.3
"Sugars, total",g,4.86,0.11,0.35
Minerals
"Calcium, Ca",mg,158,4,11
"Iron, Fe",mg,11.30,0.26,0.82
"Magnesium, Mg",mg,154,4,11
"Phosphorus, P",mg,828,19,60
"Potassium, K",mg,2386,55,174
"Sodium, Na",mg,120,3,9
"Zinc, Zn",mg,5.98,0.14,0.44
Vitamins
"Vitamin C, total ascorbic acid",mg,2.4,0.1,0.2
"Thiamin",mg,0.870,0.020,0.063
"Riboflavin",mg,0.282,0.007,0.021
"Niacin",mg,1.592,0.037,0.116
"Vitamin B-6",mg,3.308,0.077,0.241
"Folate, DFE",µg,94,2,7
"Vitamin B-12",µg,0.00,0.00,0.00
"Vitamin A, RAE",µg,0,0,0
"Vitamin A, IU",IU,0,0,0
"Vitamin E (alpha-tocopherol)",mg,1.34,0.03,0.10
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0
"Vitamin D",IU,0,0,0
"Vitamin K (phylloquinone)",µg,0.8,0.0,0.1
Lipids
"Fatty acids, total saturated",g,0.498,0.012,0.036
"Fatty acids, total monounsaturated",g,0.230,0.005,0.017
"Fatty acids, total polyunsaturated",g,0.356,0.008,0.026
"Fatty acids, total trans",g,0.000,0.000,0.000
"Cholesterol",mg,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0
