Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 16:12 EST
"Nutrient data for: 02021, Spices, ginger, ground"
Nutrient,Unit,2Value per 200 g,"1.5 tsp = 2.7g","1.5 tbsp = 7.8g",
Proximates
"Water",g,19.88,0.27,0.78
"Energy",kcal,670,9,26
"Protein",g,17.96,0.24,0.70
"Total lipid (fat)",g,8.48,0.11,0.33
"Carbohydrate, by difference",g,143.24,1.93,5.59
"Fiber, total dietary",g,28.2,0.4,1.1
"Sugars, total",g,6.78,0.09,0.26
Minerals
"Calcium, Ca",mg,228,3,9
"Iron, Fe",mg,39.60,0.53,1.54
"Magnesium, Mg",mg,428,6,17
"Phosphorus, P",mg,336,5,13
"Potassium, K",mg,2640,36,103
"Sodium, Na",mg,54,1,2
"Zinc, Zn",mg,7.28,0.10,0.28
Vitamins
"Vitamin C, total ascorbic acid",mg,1.4,0.0,0.1
"Thiamin",mg,0.092,0.001,0.004
"Riboflavin",mg,0.340,0.005,0.013
"Niacin",mg,19.240,0.260,0.750
"Vitamin B-6",mg,1.252,0.017,0.049
"Folate, DFE",µg,26,0,1
"Vitamin B-12",µg,0.00,0.00,0.00
"Vitamin A, RAE",µg,4,0,0
"Vitamin A, IU",IU,60,1,2
"Vitamin E (alpha-tocopherol)",mg,0.00,0.00,0.00
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0
"Vitamin D",IU,0,0,0
"Vitamin K (phylloquinone)",µg,1.6,0.0,0.1
Lipids
"Fatty acids, total saturated",g,5.198,0.070,0.203
"Fatty acids, total monounsaturated",g,0.958,0.013,0.037
"Fatty acids, total polyunsaturated",g,1.858,0.025,0.072
"Fatty acids, total trans",g,0.000,0.000,0.000
"Cholesterol",mg,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0
