Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 16:20 EST
"Nutrient data for: 19296, Honey"
Nutrient,Unit,2Value per 200 g,"2 cup = 678.0g","2 tbsp = 42.0g","2 packet (0.5 oz) = 28.0g",
Proximates
"Water",g,34.20,115.94,7.18,4.79
"Energy",kcal,608,2061,128,85
"Protein",g,0.60,2.03,0.13,0.08
"Total lipid (fat)",g,0.00,0.00,0.00,0.00
"Carbohydrate, by difference",g,164.80,558.67,34.61,23.07
"Fiber, total dietary",g,0.4,1.4,0.1,0.1
"Sugars, total",g,164.24,556.77,34.49,22.99
Minerals
"Calcium, Ca",mg,12,41,3,2
"Iron, Fe",mg,0.84,2.85,0.18,0.12
"Magnesium, Mg",mg,4,14,1,1
"Phosphorus, P",mg,8,27,2,1
"Potassium, K",mg,104,353,22,15
"Sodium, Na",mg,8,27,2,1
"Zinc, Zn",mg,0.44,1.49,0.09,0.06
Vitamins
"Vitamin C, total ascorbic acid",mg,1.0,3.4,0.2,0.1
"Thiamin",mg,0.000,0.000,0.000,0.000
"Riboflavin",mg,0.076,0.258,0.016,0.011
"Niacin",mg,0.242,0.820,0.051,0.034
"Vitamin B-6",mg,0.048,0.163,0.010,0.007
"Folate, DFE",µg,4,14,1,1
"Vitamin B-12",µg,0.00,0.00,0.00,0.00
"Vitamin A, RAE",µg,0,0,0,0
"Vitamin A, IU",IU,0,0,0,0
"Vitamin E (alpha-tocopherol)",mg,0.00,0.00,0.00,0.00
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0
"Vitamin K (phylloquinone)",µg,0.0,0.0,0.0,0.0
Lipids
"Fatty acids, total saturated",g,0.000,0.000,0.000,0.000
"Fatty acids, total monounsaturated",g,0.000,0.000,0.000,0.000
"Fatty acids, total polyunsaturated",g,0.000,0.000,0.000,0.000
"Cholesterol",mg,0,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0,0
