Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 16:23 EST
"Nutrient data for: 11972, Lemon grass (citronella), raw"
Nutrient,Unit,3Value per 300 g,"3 cup = 201.0g","3 tbsp = 14.4g",
Proximates
"Water",g,211.74,141.87,10.16
"Energy",kcal,297,199,14
"Protein",g,5.46,3.66,0.26
"Total lipid (fat)",g,1.47,0.98,0.07
"Carbohydrate, by difference",g,75.93,50.87,3.64
Minerals
"Calcium, Ca",mg,195,131,9
"Iron, Fe",mg,24.51,16.42,1.18
"Magnesium, Mg",mg,180,121,9
"Phosphorus, P",mg,303,203,15
"Potassium, K",mg,2169,1453,104
"Sodium, Na",mg,18,12,1
"Zinc, Zn",mg,6.69,4.48,0.32
Vitamins
"Vitamin C, total ascorbic acid",mg,7.8,5.2,0.4
"Thiamin",mg,0.195,0.131,0.009
"Riboflavin",mg,0.405,0.271,0.019
"Niacin",mg,3.303,2.213,0.159
"Vitamin B-6",mg,0.240,0.161,0.012
"Folate, DFE",µg,225,151,11
"Vitamin B-12",µg,0.00,0.00,0.00
"Vitamin A, RAE",µg,0,0,0
"Vitamin A, IU",IU,18,12,1
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0
"Vitamin D",IU,0,0,0
Lipids
"Fatty acids, total saturated",g,0.357,0.239,0.017
"Fatty acids, total monounsaturated",g,0.162,0.109,0.008
"Fatty acids, total polyunsaturated",g,0.510,0.342,0.024
"Fatty acids, total trans",g,0.000,0.000,0.000
"Cholesterol",mg,0,0,0
Amino Acids
Other
