Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 16:23 EST
"Nutrient data for: 11972, Lemon grass (citronella), raw"
Nutrient,Unit,3Value per 300 g,"2 cup = 134.0g","2 tbsp = 9.6g",
Proximates
"Water",g,211.74,94.58,6.78
"Energy",kcal,297,133,10
"Protein",g,5.46,2.44,0.17
"Total lipid (fat)",g,1.47,0.66,0.05
"Carbohydrate, by difference",g,75.93,33.92,2.43
Minerals
"Calcium, Ca",mg,195,87,6
"Iron, Fe",mg,24.51,10.95,0.78
"Magnesium, Mg",mg,180,80,6
"Phosphorus, P",mg,303,135,10
"Potassium, K",mg,2169,969,69
"Sodium, Na",mg,18,8,1
"Zinc, Zn",mg,6.69,2.99,0.21
Vitamins
"Vitamin C, total ascorbic acid",mg,7.8,3.5,0.2
"Thiamin",mg,0.195,0.087,0.006
"Riboflavin",mg,0.405,0.181,0.013
"Niacin",mg,3.303,1.475,0.106
"Vitamin B-6",mg,0.240,0.107,0.008
"Folate, DFE",µg,225,100,7
"Vitamin B-12",µg,0.00,0.00,0.00
"Vitamin A, RAE",µg,0,0,0
"Vitamin A, IU",IU,18,8,1
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0
"Vitamin D",IU,0,0,0
Lipids
"Fatty acids, total saturated",g,0.357,0.159,0.011
"Fatty acids, total monounsaturated",g,0.162,0.072,0.005
"Fatty acids, total polyunsaturated",g,0.510,0.228,0.016
"Fatty acids, total trans",g,0.000,0.000,0.000
"Cholesterol",mg,0,0,0
Amino Acids
Other
