Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 16:26 EST
"Nutrient data for: 09524, Lemon juice from concentrate, bottled, REAL LEMON"
Nutrient,Unit,2Value per 200 g,"1.5 tbsp = 22.5g","1.5 tsp = 7.5g",
Proximates
"Water",g,187.14,21.05,7.02
"Energy",kcal,34,4,1
"Protein",g,0.94,0.11,0.04
"Total lipid (fat)",g,0.14,0.02,0.01
"Carbohydrate, by difference",g,11.32,1.27,0.42
"Fiber, total dietary",g,1.4,0.2,0.1
"Sugars, total",g,3.18,0.36,0.12
Minerals
"Calcium, Ca",mg,18,2,1
"Iron, Fe",mg,0.12,0.01,0.00
"Magnesium, Mg",mg,12,1,0
"Phosphorus, P",mg,18,2,1
"Potassium, K",mg,218,25,8
"Sodium, Na",mg,52,6,2
"Zinc, Zn",mg,0.46,0.05,0.02
Vitamins
"Vitamin C, total ascorbic acid",mg,33.2,3.7,1.2
"Thiamin",mg,0.040,0.005,0.002
"Riboflavin",mg,0.034,0.004,0.001
"Niacin",mg,0.360,0.040,0.013
"Vitamin B-6",mg,0.074,0.008,0.003
"Vitamin A, RAE",µg,4,0,0
"Vitamin A, IU",IU,66,7,2
"Vitamin E (alpha-tocopherol)",mg,0.46,0.05,0.02
"Vitamin K (phylloquinone)",µg,0.2,0.0,0.0
Lipids
"Fatty acids, total saturated",g,0.054,0.006,0.002
"Fatty acids, total monounsaturated",g,0.012,0.001,0.000
"Fatty acids, total polyunsaturated",g,0.034,0.004,0.001
"Fatty acids, total trans",g,0.000,0.000,0.000
Amino Acids
Other
