Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 16:27 EST
"Nutrient data for: 09524, Lemon juice from concentrate, bottled, REAL LEMON"
Nutrient,Unit,3Value per 300 g,"2 tbsp = 30.0g","2 tsp = 10.0g",
Proximates
"Water",g,280.71,28.07,9.36
"Energy",kcal,51,5,2
"Protein",g,1.41,0.14,0.05
"Total lipid (fat)",g,0.21,0.02,0.01
"Carbohydrate, by difference",g,16.98,1.70,0.57
"Fiber, total dietary",g,2.1,0.2,0.1
"Sugars, total",g,4.77,0.48,0.16
Minerals
"Calcium, Ca",mg,27,3,1
"Iron, Fe",mg,0.18,0.02,0.01
"Magnesium, Mg",mg,18,2,1
"Phosphorus, P",mg,27,3,1
"Potassium, K",mg,327,33,11
"Sodium, Na",mg,78,8,3
"Zinc, Zn",mg,0.69,0.07,0.02
Vitamins
"Vitamin C, total ascorbic acid",mg,49.8,5.0,1.7
"Thiamin",mg,0.060,0.006,0.002
"Riboflavin",mg,0.051,0.005,0.002
"Niacin",mg,0.540,0.054,0.018
"Vitamin B-6",mg,0.111,0.011,0.004
"Vitamin A, RAE",µg,6,1,0
"Vitamin A, IU",IU,99,10,3
"Vitamin E (alpha-tocopherol)",mg,0.69,0.07,0.02
"Vitamin K (phylloquinone)",µg,0.3,0.0,0.0
Lipids
"Fatty acids, total saturated",g,0.081,0.008,0.003
"Fatty acids, total monounsaturated",g,0.018,0.002,0.001
"Fatty acids, total polyunsaturated",g,0.051,0.005,0.002
"Fatty acids, total trans",g,0.000,0.000,0.000
Amino Acids
Other
