Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 16:29 EST
"Nutrient data for: 09161, Lime juice, canned or bottled, unsweetened"
Nutrient,Unit,2Value per 200 g,"1 cup = 246.0g","1 fl oz = 30.8g",
Proximates
"Water",g,185.04,227.60,28.50
"Energy",kcal,42,52,6
"Protein",g,0.50,0.62,0.08
"Total lipid (fat)",g,0.46,0.57,0.07
"Carbohydrate, by difference",g,13.38,16.46,2.06
"Fiber, total dietary",g,0.8,1.0,0.1
"Sugars, total",g,2.74,3.37,0.42
Minerals
"Calcium, Ca",mg,24,30,4
"Iron, Fe",mg,0.46,0.57,0.07
"Magnesium, Mg",mg,14,17,2
"Phosphorus, P",mg,20,25,3
"Potassium, K",mg,150,184,23
"Sodium, Na",mg,32,39,5
"Zinc, Zn",mg,0.12,0.15,0.02
Vitamins
"Vitamin C, total ascorbic acid",mg,12.8,15.7,2.0
"Thiamin",mg,0.066,0.081,0.010
"Riboflavin",mg,0.006,0.007,0.001
"Niacin",mg,0.326,0.401,0.050
"Vitamin B-6",mg,0.054,0.066,0.008
"Folate, DFE",µg,16,20,2
"Vitamin B-12",µg,0.00,0.00,0.00
"Vitamin A, RAE",µg,2,2,0
"Vitamin A, IU",IU,32,39,5
"Vitamin E (alpha-tocopherol)",mg,0.24,0.30,0.04
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0
"Vitamin D",IU,0,0,0
"Vitamin K (phylloquinone)",µg,1.0,1.2,0.2
Lipids
"Fatty acids, total saturated",g,0.052,0.064,0.008
"Fatty acids, total monounsaturated",g,0.044,0.054,0.007
"Fatty acids, total polyunsaturated",g,0.128,0.157,0.020
"Fatty acids, total trans",g,0.000,0.000,0.000
"Cholesterol",mg,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0
