Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 16:29 EST
"Nutrient data for: 09161, Lime juice, canned or bottled, unsweetened"
Nutrient,Unit,3Value per 300 g,"1.5 cup = 369.0g","1.5 fl oz = 46.2g",
Proximates
"Water",g,277.56,341.40,42.74
"Energy",kcal,63,77,10
"Protein",g,0.75,0.92,0.12
"Total lipid (fat)",g,0.69,0.85,0.11
"Carbohydrate, by difference",g,20.07,24.69,3.09
"Fiber, total dietary",g,1.2,1.5,0.2
"Sugars, total",g,4.11,5.06,0.63
Minerals
"Calcium, Ca",mg,36,44,6
"Iron, Fe",mg,0.69,0.85,0.11
"Magnesium, Mg",mg,21,26,3
"Phosphorus, P",mg,30,37,5
"Potassium, K",mg,225,277,35
"Sodium, Na",mg,48,59,7
"Zinc, Zn",mg,0.18,0.22,0.03
Vitamins
"Vitamin C, total ascorbic acid",mg,19.2,23.6,3.0
"Thiamin",mg,0.099,0.122,0.015
"Riboflavin",mg,0.009,0.011,0.001
"Niacin",mg,0.489,0.601,0.075
"Vitamin B-6",mg,0.081,0.100,0.012
"Folate, DFE",µg,24,30,4
"Vitamin B-12",µg,0.00,0.00,0.00
"Vitamin A, RAE",µg,3,4,0
"Vitamin A, IU",IU,48,59,7
"Vitamin E (alpha-tocopherol)",mg,0.36,0.44,0.06
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0
"Vitamin D",IU,0,0,0
"Vitamin K (phylloquinone)",µg,1.5,1.8,0.2
Lipids
"Fatty acids, total saturated",g,0.078,0.096,0.012
"Fatty acids, total monounsaturated",g,0.066,0.081,0.010
"Fatty acids, total polyunsaturated",g,0.192,0.236,0.030
"Fatty acids, total trans",g,0.000,0.000,0.000
"Cholesterol",mg,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0
