Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 16:05 EST
"Nutrient data for: 02065, Spearmint, fresh"
Nutrient,Unit,2Value per 200 g,"3.0 leaves = 0.45g","3.0 tbsp = 17.1g",
Proximates
"Water",g,171.10,0.38,14.63
"Energy",kcal,88,0,8
"Protein",g,6.58,0.01,0.56
"Total lipid (fat)",g,1.46,0.00,0.12
"Carbohydrate, by difference",g,16.82,0.04,1.44
"Fiber, total dietary",g,13.6,0.0,1.2
Minerals
"Calcium, Ca",mg,398,1,34
"Iron, Fe",mg,23.74,0.05,2.03
"Magnesium, Mg",mg,126,0,11
"Phosphorus, P",mg,120,0,10
"Potassium, K",mg,916,2,78
"Sodium, Na",mg,60,0,5
"Zinc, Zn",mg,2.18,0.00,0.19
Vitamins
"Vitamin C, total ascorbic acid",mg,26.6,0.1,2.3
"Thiamin",mg,0.156,0.000,0.013
"Riboflavin",mg,0.350,0.001,0.030
"Niacin",mg,1.896,0.004,0.162
"Vitamin B-6",mg,0.316,0.001,0.027
"Folate, DFE",µg,210,0,18
"Vitamin B-12",µg,0.00,0.00,0.00
"Vitamin A, RAE",µg,406,1,35
"Vitamin A, IU",IU,8108,18,693
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0
"Vitamin D",IU,0,0,0
Lipids
"Fatty acids, total saturated",g,0.382,0.001,0.033
"Fatty acids, total monounsaturated",g,0.050,0.000,0.004
"Fatty acids, total polyunsaturated",g,0.788,0.002,0.067
"Fatty acids, total trans",g,0.000,0.000,0.000
"Cholesterol",mg,0,0,0
Amino Acids
Other
Footnotes
(a)"Leaf"
