Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 24, 2016 16:28 EST
"Nutrient data for: 02029, Spices, parsley, dried"
Nutrient,Unit,0.07Value per 7 g,"1 tsp = 0.5g","1 tbsp = 1.6g",
Proximates
"Water",g,0.41,0.03,0.09
"Energy",kcal,20,1,5
"Protein",g,1.86,0.13,0.43
"Total lipid (fat)",g,0.38,0.03,0.09
"Carbohydrate, by difference",g,3.54,0.25,0.81
"Fiber, total dietary",g,1.9,0.1,0.4
"Sugars, total",g,0.51,0.04,0.12
Minerals
"Calcium, Ca",mg,80,6,18
"Iron, Fe",mg,1.54,0.11,0.35
"Magnesium, Mg",mg,28,2,6
"Phosphorus, P",mg,31,2,7
"Potassium, K",mg,188,13,43
"Sodium, Na",mg,32,2,7
"Zinc, Zn",mg,0.38,0.03,0.09
Vitamins
"Vitamin C, total ascorbic acid",mg,8.8,0.6,2.0
"Thiamin",mg,0.014,0.001,0.003
"Riboflavin",mg,0.167,0.012,0.038
"Niacin",mg,0.696,0.050,0.159
"Vitamin B-6",mg,0.063,0.005,0.014
"Folate, DFE",µg,13,1,3
"Vitamin B-12",µg,0.00,0.00,0.00
"Vitamin A, RAE",µg,7,0,2
"Vitamin A, IU",IU,136,10,31
"Vitamin E (alpha-tocopherol)",mg,0.63,0.04,0.14
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0
"Vitamin D",IU,0,0,0
"Vitamin K (phylloquinone)",µg,95.2,6.8,21.8
Lipids
"Fatty acids, total saturated",g,0.096,0.007,0.022
"Fatty acids, total monounsaturated",g,0.053,0.004,0.012
"Fatty acids, total polyunsaturated",g,0.219,0.016,0.050
"Fatty acids, total trans",g,0.000,0.000,0.000
"Cholesterol",mg,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0
