Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 16:10 EST
"Nutrient data for: 02029, Spices, parsley, dried"
Nutrient,Unit,4Value per 400 g,"4 tsp = 2.0g","4 tbsp = 6.4g",
Proximates
"Water",g,23.56,0.12,0.38
"Energy",kcal,1168,6,19
"Protein",g,106.52,0.53,1.70
"Total lipid (fat)",g,21.92,0.11,0.35
"Carbohydrate, by difference",g,202.56,1.01,3.24
"Fiber, total dietary",g,106.8,0.5,1.7
"Sugars, total",g,29.08,0.15,0.47
Minerals
"Calcium, Ca",mg,4560,23,73
"Iron, Fe",mg,88.16,0.44,1.41
"Magnesium, Mg",mg,1600,8,26
"Phosphorus, P",mg,1744,9,28
"Potassium, K",mg,10732,54,172
"Sodium, Na",mg,1808,9,29
"Zinc, Zn",mg,21.76,0.11,0.35
Vitamins
"Vitamin C, total ascorbic acid",mg,500.0,2.5,8.0
"Thiamin",mg,0.784,0.004,0.013
"Riboflavin",mg,9.532,0.048,0.153
"Niacin",mg,39.772,0.199,0.636
"Vitamin B-6",mg,3.600,0.018,0.058
"Folate, DFE",µg,720,4,12
"Vitamin B-12",µg,0.00,0.00,0.00
"Vitamin A, RAE",µg,388,2,6
"Vitamin A, IU",IU,7756,39,124
"Vitamin E (alpha-tocopherol)",mg,35.84,0.18,0.57
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0
"Vitamin D",IU,0,0,0
"Vitamin K (phylloquinone)",µg,5438.0,27.2,87.0
Lipids
"Fatty acids, total saturated",g,5.512,0.028,0.088
"Fatty acids, total monounsaturated",g,3.044,0.015,0.049
"Fatty acids, total polyunsaturated",g,12.496,0.062,0.200
"Fatty acids, total trans",g,0.000,0.000,0.000
"Cholesterol",mg,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0
