Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 19:17 EST
"Nutrient data for: 01080, Milk, reduced fat, fluid, 2% milkfat, with added nonfat milk solids and vitamin A and vitamin D"
Nutrient,Unit,3.75Value per 375 g,"1 cup = 245.0g","1 quart = 980.0g",
Proximates
"Water",g,333.22,217.71,870.83
"Energy",kcal,191,125,500
"Protein",g,13.05,8.53,34.10
"Total lipid (fat)",g,7.20,4.70,18.82
"Carbohydrate, by difference",g,18.64,12.18,48.71
"Fiber, total dietary",g,0.0,0.0,0.0
Minerals
"Calcium, Ca",mg,480,314,1254
"Iron, Fe",mg,0.19,0.12,0.49
"Magnesium, Mg",mg,52,34,137
"Phosphorus, P",mg,375,245,980
"Potassium, K",mg,608,397,1588
"Sodium, Na",mg,195,127,510
"Zinc, Zn",mg,1.50,0.98,3.92
Vitamins
"Vitamin C, total ascorbic acid",mg,3.8,2.4,9.8
"Thiamin",mg,0.150,0.098,0.392
"Riboflavin",mg,0.649,0.424,1.695
"Niacin",mg,0.337,0.220,0.882
"Vitamin B-6",mg,0.169,0.110,0.441
"Folate, DFE",µg,19,12,49
"Vitamin B-12",µg,1.42,0.93,3.72
"Vitamin A, RAE",µg,210,137,549
"Vitamin A, IU",IU,765,500,1999
"Vitamin D (D2 + D3)",µg,3.8,2.4,9.8
"Vitamin D",IU,150,98,392
Lipids
"Fatty acids, total saturated",g,4.481,2.928,11.711
"Fatty acids, total monounsaturated",g,2.081,1.360,5.439
"Fatty acids, total polyunsaturated",g,0.266,0.174,0.696
"Cholesterol",mg,30,20,78
Amino Acids
Other
