Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 19:12 EST
"Nutrient data for: 14091, Beverages, almond milk, unsweetened, shelf stable"
Nutrient,Unit,2.5Value per 250 g,"1 cup = 262.0g",
Proximates
"Water",g,242.62,254.27
"Energy",kcal,38,39
"Protein",g,1.47,1.55
"Total lipid (fat)",g,2.75,2.88
"Carbohydrate, by difference",g,1.45,1.52
"Fiber, total dietary",g,0.0,0.0
"Sugars, total",g,0.00,0.00
Minerals
"Calcium, Ca",mg,492,516
"Iron, Fe",mg,0.88,0.92
"Magnesium, Mg",mg,18,18
"Phosphorus, P",mg,25,26
"Potassium, K",mg,168,176
"Sodium, Na",mg,178,186
"Zinc, Zn",mg,0.18,0.18
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0
"Thiamin",mg,0.150,0.157
"Riboflavin",mg,0.118,0.123
"Niacin",mg,0.188,0.196
"Vitamin B-6",mg,0.038,0.039
"Folate, DFE",µg,2,3
"Vitamin B-12",µg,0.00,0.00
"Vitamin A, RAE",µg,108,113
"Vitamin A, IU",IU,355,372
"Vitamin E (alpha-tocopherol)",mg,7.02,7.36
"Vitamin D (D2 + D3)",µg,2.5,2.6
"Vitamin D",IU,105,110
"Vitamin K (phylloquinone)",µg,0.0,0.0
Lipids
"Fatty acids, total saturated",g,0.000,0.000
"Fatty acids, total monounsaturated",g,1.770,1.855
"Fatty acids, total polyunsaturated",g,0.590,0.618
"Cholesterol",mg,0,0
Amino Acids
Other
"Caffeine",mg,0,0
