Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 19:12 EST
"Nutrient data for: 14091, Beverages, almond milk, unsweetened, shelf stable"
Nutrient,Unit,3.75Value per 375 g,"1 cup = 262.0g",
Proximates
"Water",g,363.94,254.27
"Energy",kcal,56,39
"Protein",g,2.21,1.55
"Total lipid (fat)",g,4.12,2.88
"Carbohydrate, by difference",g,2.18,1.52
"Fiber, total dietary",g,0.0,0.0
"Sugars, total",g,0.00,0.00
Minerals
"Calcium, Ca",mg,739,516
"Iron, Fe",mg,1.31,0.92
"Magnesium, Mg",mg,26,18
"Phosphorus, P",mg,38,26
"Potassium, K",mg,251,176
"Sodium, Na",mg,266,186
"Zinc, Zn",mg,0.26,0.18
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0
"Thiamin",mg,0.225,0.157
"Riboflavin",mg,0.176,0.123
"Niacin",mg,0.281,0.196
"Vitamin B-6",mg,0.056,0.039
"Folate, DFE",µg,4,3
"Vitamin B-12",µg,0.00,0.00
"Vitamin A, RAE",µg,161,113
"Vitamin A, IU",IU,532,372
"Vitamin E (alpha-tocopherol)",mg,10.54,7.36
"Vitamin D (D2 + D3)",µg,3.8,2.6
"Vitamin D",IU,158,110
"Vitamin K (phylloquinone)",µg,0.0,0.0
Lipids
"Fatty acids, total saturated",g,0.000,0.000
"Fatty acids, total monounsaturated",g,2.655,1.855
"Fatty acids, total polyunsaturated",g,0.885,0.618
"Cholesterol",mg,0,0
Amino Acids
Other
"Caffeine",mg,0,0
