Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 19:20 EST
"Nutrient data for: 14090, Beverages, Coconut water, ready-to-drink, unsweetened"
Nutrient,Unit,3.75Value per 375 g,"1 cup = 245.0g",
Proximates
"Water",g,356.36,232.82
"Energy",kcal,68,44
"Protein",g,0.82,0.54
"Total lipid (fat)",g,0.00,0.00
"Carbohydrate, by difference",g,15.90,10.39
"Fiber, total dietary",g,0.0,0.0
"Sugars, total",g,14.70,9.60
Minerals
"Calcium, Ca",mg,26,17
"Iron, Fe",mg,0.11,0.07
"Magnesium, Mg",mg,22,15
"Phosphorus, P",mg,19,12
"Potassium, K",mg,619,404
"Sodium, Na",mg,98,64
"Zinc, Zn",mg,0.08,0.05
Vitamins
"Vitamin C, total ascorbic acid",mg,37.1,24.3
"Thiamin",mg,0.112,0.074
"Riboflavin",mg,0.000,0.000
"Niacin",mg,0.000,0.000
"Vitamin B-6",mg,0.000,0.000
"Folate, DFE",µg,0,0
"Vitamin B-12",µg,0.00,0.00
"Vitamin A, RAE",µg,0,0
"Vitamin A, IU",IU,0,0
"Vitamin E (alpha-tocopherol)",mg,0.00,0.00
"Vitamin D (D2 + D3)",µg,0.0,0.0
"Vitamin D",IU,0,0
"Vitamin K (phylloquinone)",µg,0.0,0.0
Lipids
"Fatty acids, total saturated",g,0.000,0.000
"Fatty acids, total monounsaturated",g,0.000,0.000
"Fatty acids, total polyunsaturated",g,0.000,0.000
"Fatty acids, total trans",g,0.000,0.000
"Cholesterol",mg,0,0
Amino Acids
Other
"Caffeine",mg,0,0
