Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 19:24 EST
"Nutrient data for: 09152, Lemon juice, raw"
Nutrient,Unit,1.25Value per 125 g,"1 cup = 244.0g","1 fl oz = 30.5g","1 lemon yields = 48.0g","1 wedge yields = 5.9g",
Proximates
"Water",g,115.39,225.24,28.15,44.31,5.45
"Energy",kcal,28,54,7,11,1
"Protein",g,0.44,0.85,0.11,0.17,0.02
"Total lipid (fat)",g,0.30,0.59,0.07,0.12,0.01
"Carbohydrate, by difference",g,8.62,16.84,2.10,3.31,0.41
"Fiber, total dietary",g,0.4,0.7,0.1,0.1,0.0
"Sugars, total",g,3.15,6.15,0.77,1.21,0.15
Minerals
"Calcium, Ca",mg,8,15,2,3,0
"Iron, Fe",mg,0.10,0.20,0.02,0.04,0.00
"Magnesium, Mg",mg,8,15,2,3,0
"Phosphorus, P",mg,10,20,2,4,0
"Potassium, K",mg,129,251,31,49,6
"Sodium, Na",mg,1,2,0,0,0
"Zinc, Zn",mg,0.06,0.12,0.02,0.02,0.00
Vitamins
"Vitamin C, total ascorbic acid",mg,48.4,94.4,11.8,18.6,2.3
"Thiamin",mg,0.030,0.059,0.007,0.012,0.001
"Riboflavin",mg,0.019,0.037,0.005,0.007,0.001
"Niacin",mg,0.114,0.222,0.028,0.044,0.005
"Vitamin B-6",mg,0.057,0.112,0.014,0.022,0.003
"Folate, DFE",µg,25,49,6,10,1
"Vitamin B-12",µg,0.00,0.00,0.00,0.00,0.00
"Vitamin A, RAE",µg,0,0,0,0,0
"Vitamin A, IU",IU,8,15,2,3,0
"Vitamin E (alpha-tocopherol)",mg,0.19,0.37,0.05,0.07,0.01
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0,0
"Vitamin K (phylloquinone)",µg,0.0,0.0,0.0,0.0,0.0
Lipids
"Fatty acids, total saturated",g,0.050,0.098,0.012,0.019,0.002
"Fatty acids, total monounsaturated",g,0.008,0.015,0.002,0.003,0.000
"Fatty acids, total polyunsaturated",g,0.026,0.051,0.006,0.010,0.001
"Fatty acids, total trans",g,0.000,0.000,0.000,0.000,0.000
"Cholesterol",mg,0,0,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0,0,0
Footnotes
(a)"Mean value contains data based on the analysis of 5-methyltetrahydrofolate plus total folate determined microbiologically"
