Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 19:19 EST
"Nutrient data for: 01086, Milk, nonfat, fluid, with added nonfat milk solids, vitamin A and vitamin D (fat free or skim)"
Nutrient,Unit,2.5Value per 250 g,"1 cup = 245.0g","1 fl oz = 30.6g","1 quart = 980.0g",
Proximates
"Water",g,225.95,221.43,27.66,885.72
"Energy",kcal,92,91,11,363
"Protein",g,8.92,8.75,1.09,34.99
"Total lipid (fat)",g,0.62,0.61,0.08,2.45
"Carbohydrate, by difference",g,12.55,12.30,1.54,49.20
"Fiber, total dietary",g,0.0,0.0,0.0,0.0
"Sugars, total",g,12.55,12.30,1.54,49.20
Minerals
"Calcium, Ca",mg,322,316,39,1264
"Iron, Fe",mg,0.12,0.12,0.02,0.49
"Magnesium, Mg",mg,38,37,5,147
"Phosphorus, P",mg,260,255,32,1019
"Potassium, K",mg,428,419,52,1676
"Sodium, Na",mg,132,130,16,519
"Zinc, Zn",mg,1.02,1.00,0.13,4.02
Vitamins
"Vitamin C, total ascorbic acid",mg,2.5,2.4,0.3,9.8
"Thiamin",mg,0.103,0.100,0.013,0.402
"Riboflavin",mg,0.438,0.429,0.054,1.715
"Niacin",mg,0.227,0.223,0.028,0.892
"Vitamin B-6",mg,0.115,0.113,0.014,0.451
"Folate, DFE",µg,12,12,2,49
"Vitamin B-12",µg,0.98,0.96,0.12,3.82
"Vitamin A, RAE",µg,160,157,20,627
"Vitamin A, IU",IU,535,524,65,2097
"Vitamin E (alpha-tocopherol)",mg,0.02,0.02,0.00,0.10
"Vitamin D (D2 + D3)",µg,3.0,2.9,0.4,11.8
"Vitamin D",IU,122,120,15,480
"Vitamin K (phylloquinone)",µg,0.0,0.0,0.0,0.0
Lipids
"Fatty acids, total saturated",g,0.405,0.397,0.050,1.588
"Fatty acids, total monounsaturated",g,0.162,0.159,0.020,0.637
"Fatty acids, total polyunsaturated",g,0.022,0.022,0.003,0.088
"Cholesterol",mg,5,5,1,20
Amino Acids
Other
"Caffeine",mg,0,0,0,0
