Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 19:13 EST
"Nutrient data for: 16122, Soy protein isolate"
Nutrient,Unit,1.25Value per 125 g,"1 oz = 28.35g",
Proximates
"Water",g,6.23,1.41
"Energy",kcal,419,95
"Protein",g,110.40,25.04
"Total lipid (fat)",g,4.24,0.96
"Carbohydrate, by difference",g,0.00,0.00
"Fiber, total dietary",g,0.0,0.0
"Sugars, total",g,0.00,0.00
Minerals
"Calcium, Ca",mg,222,50
"Iron, Fe",mg,18.12,4.11
"Magnesium, Mg",mg,49,11
"Phosphorus, P",mg,970,220
"Potassium, K",mg,101,23
"Sodium, Na",mg,1256,285
"Zinc, Zn",mg,5.04,1.14
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0
"Thiamin",mg,0.220,0.050
"Riboflavin",mg,0.125,0.028
"Niacin",mg,1.797,0.408
"Vitamin B-6",mg,0.125,0.028
"Folate, DFE",µg,220,50
"Vitamin B-12",µg,0.00,0.00
"Vitamin A, RAE",µg,0,0
"Vitamin A, IU",IU,0,0
"Vitamin E (alpha-tocopherol)",mg,0.00,0.00
"Vitamin D (D2 + D3)",µg,0.0,0.0
"Vitamin D",IU,0,0
"Vitamin K (phylloquinone)",µg,0.0,0.0
Lipids
"Fatty acids, total saturated",g,0.528,0.120
"Fatty acids, total monounsaturated",g,0.806,0.183
"Fatty acids, total polyunsaturated",g,2.060,0.467
"Fatty acids, total trans",g,0.000,0.000
"Cholesterol",mg,0,0
Amino Acids
Other
"Caffeine",mg,0,0
