Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 17:00 EST
"Nutrient data for: 12061, Nuts, almonds"
Nutrient,Unit,4Value per 400 g,"4 cup, whole = 572.0g","4 cup, sliced = 368.0g","4 cup, slivered = 432.0g","4 cup, ground = 380.0g","4 oz (23 whole kernels) = 113.4g","4 almond = 4.8g",
Proximates
"Water",g,17.64,25.23,16.23,19.05,16.76,5.00,0.21
"Energy",kcal,2316,3312,2131,2501,2200,657,28
"Protein",g,84.60,120.98,77.83,91.37,80.37,23.98,1.02
"Total lipid (fat)",g,199.72,285.60,183.74,215.70,189.73,56.62,2.40
"Carbohydrate, by difference",g,86.20,123.27,79.30,93.10,81.89,24.44,1.03
"Fiber, total dietary",g,50.0,71.5,46.0,54.0,47.5,14.2,0.6
"Sugars, total",g,17.40,24.88,16.01,18.79,16.53,4.93,0.21
Minerals
"Calcium, Ca",mg,1076,1539,990,1162,1022,305,13
"Iron, Fe",mg,14.84,21.22,13.65,16.03,14.10,4.21,0.18
"Magnesium, Mg",mg,1080,1544,994,1166,1026,306,13
"Phosphorus, P",mg,1924,2751,1770,2078,1828,545,23
"Potassium, K",mg,2932,4193,2697,3167,2785,831,35
"Sodium, Na",mg,4,6,4,4,4,1,0
"Zinc, Zn",mg,12.48,17.85,11.48,13.48,11.86,3.54,0.15
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Thiamin",mg,0.820,1.173,0.754,0.886,0.779,0.232,0.010
"Riboflavin",mg,4.552,6.509,4.188,4.916,4.324,1.290,0.055
"Niacin",mg,14.472,20.695,13.314,15.630,13.748,4.103,0.174
"Vitamin B-6",mg,0.548,0.784,0.504,0.592,0.521,0.155,0.007
"Folate, DFE",µg,176,252,162,190,167,50,2
"Vitamin B-12",µg,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Vitamin A, RAE",µg,0,0,0,0,0,0,0
"Vitamin A, IU",IU,8,11,7,9,8,2,0
"Vitamin E (alpha-tocopherol)",mg,102.52,146.60,94.32,110.72,97.39,29.06,1.23
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0,0,0,0
"Vitamin K (phylloquinone)",µg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lipids
"Fatty acids, total saturated",g,15.208,21.747,13.991,16.425,14.448,4.311,0.182
"Fatty acids, total monounsaturated",g,126.204,180.472,116.108,136.300,119.894,35.779,1.514
"Fatty acids, total polyunsaturated",g,49.316,70.522,45.371,53.261,46.850,13.981,0.592
"Fatty acids, total trans",g,0.060,0.086,0.055,0.065,0.057,0.017,0.001
"Cholesterol",mg,0,0,0,0,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0,0,0,0,0
Footnotes
(b)"Other phytosterols = 58 mg/100g; these include 21 mg delta 5-avenasterol, 4 mg sitostanol, 2 mg campestanol, and 32 mg other minor phytosterols."
(a)"Unroasted"
