Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 17:01 EST
"Nutrient data for: 12078, Nuts, brazilnuts, dried, unblanched"
Nutrient,Unit,4Value per 400 g,"4 cup, whole = 532.0g","4 kernel = 20.0g","4 oz (6 kernels) = 113.4g",
Proximates
"Water",g,13.68,18.19,0.68,3.88
"Energy",kcal,2636,3506,132,747
"Protein",g,57.28,76.18,2.86,16.24
"Total lipid (fat)",g,268.40,356.97,13.42,76.09
"Carbohydrate, by difference",g,46.96,62.46,2.35,13.31
"Fiber, total dietary",g,30.0,39.9,1.5,8.5
"Sugars, total",g,9.32,12.40,0.47,2.64
Minerals
"Calcium, Ca",mg,640,851,32,181
"Iron, Fe",mg,9.72,12.93,0.49,2.76
"Magnesium, Mg",mg,1504,2000,75,426
"Phosphorus, P",mg,2900,3857,145,822
"Potassium, K",mg,2636,3506,132,747
"Sodium, Na",mg,12,16,1,3
"Zinc, Zn",mg,16.24,21.60,0.81,4.60
Vitamins
"Vitamin C, total ascorbic acid",mg,2.8,3.7,0.1,0.8
"Thiamin",mg,2.468,3.282,0.123,0.700
"Riboflavin",mg,0.140,0.186,0.007,0.040
"Niacin",mg,1.180,1.569,0.059,0.335
"Vitamin B-6",mg,0.404,0.537,0.020,0.115
"Folate, DFE",µg,88,117,4,25
"Vitamin B-12",µg,0.00,0.00,0.00,0.00
"Vitamin A, RAE",µg,0,0,0,0
"Vitamin A, IU",IU,0,0,0,0
"Vitamin E (alpha-tocopherol)",mg,22.60,30.06,1.13,6.41
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0
"Vitamin K (phylloquinone)",µg,0.0,0.0,0.0,0.0
Lipids
"Fatty acids, total saturated",g,64.536,85.833,3.227,18.296
"Fatty acids, total monounsaturated",g,95.516,127.036,4.776,27.079
"Fatty acids, total polyunsaturated",g,97.596,129.803,4.880,27.668
"Cholesterol",mg,0,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0,0
Footnotes
(a)"Other phytosterols total 51.5 mg/100g; these include delta 5-avenasterol + beta-sitostanol (19.7) and other minor phytosterols."
