Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 16:47 EST
"Nutrient data for: 12006, Seeds, chia seeds, dried"
Nutrient,Unit,.50Value per 50 g,"2 oz = 56.7g",
Proximates
"Water",g,2.90,3.29
"Energy",kcal,243,276
"Protein",g,8.27,9.38
"Total lipid (fat)",g,15.37,17.43
"Carbohydrate, by difference",g,21.06,23.88
"Fiber, total dietary",g,17.2,19.5
Minerals
"Calcium, Ca",mg,316,358
"Iron, Fe",mg,3.86,4.38
"Magnesium, Mg",mg,168,190
"Phosphorus, P",mg,430,488
"Potassium, K",mg,204,231
"Sodium, Na",mg,8,9
"Zinc, Zn",mg,2.29,2.60
Vitamins
"Vitamin C, total ascorbic acid",mg,0.8,0.9
"Thiamin",mg,0.310,0.352
"Riboflavin",mg,0.085,0.096
"Niacin",mg,4.415,5.007
"Vitamin B-12",µg,0.00,0.00
"Vitamin A, IU",IU,27,31
"Vitamin E (alpha-tocopherol)",mg,0.25,0.28
Lipids
"Fatty acids, total saturated",g,1.665,1.888
"Fatty acids, total monounsaturated",g,1.154,1.309
"Fatty acids, total polyunsaturated",g,11.832,13.418
"Fatty acids, total trans",g,0.070,0.079
"Cholesterol",mg,0,0
Amino Acids
Other
