Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 24, 2016 16:04 EST
"Nutrient data for: 12012, Seeds, hemp seed, hulled"
Nutrient,Unit,0.07Value per 7 g,"3.0 tbsp = 30.0g",
Proximates
"Water",g,0.35,1.49
"Energy",kcal,39,166
"Protein",g,2.21,9.47
"Total lipid (fat)",g,3.41,14.62
"Carbohydrate, by difference",g,0.61,2.60
"Fiber, total dietary",g,0.3,1.2
"Sugars, total",g,0.11,0.45
Minerals
"Calcium, Ca",mg,5,21
"Iron, Fe",mg,0.56,2.38
"Magnesium, Mg",mg,49,210
"Phosphorus, P",mg,116,495
"Potassium, K",mg,84,360
"Sodium, Na",mg,0,2
"Zinc, Zn",mg,0.69,2.97
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.2
"Thiamin",mg,0.089,0.382
"Riboflavin",mg,0.020,0.085
"Niacin",mg,0.644,2.760
"Vitamin B-6",mg,0.042,0.180
"Folate, DFE",µg,8,33
"Vitamin A, RAE",µg,0,0
"Vitamin A, IU",IU,1,3
"Vitamin E (alpha-tocopherol)",mg,0.06,0.24
Lipids
"Fatty acids, total saturated",g,0.322,1.380
"Fatty acids, total monounsaturated",g,0.378,1.620
"Fatty acids, total polyunsaturated",g,2.667,11.430
"Fatty acids, total trans",g,0.000,0.000
"Cholesterol",mg,0,0
Amino Acids
Other
