Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 16:56 EST
"Nutrient data for: 12012, Seeds, hemp seed, hulled"
Nutrient,Unit,2.5Value per 250 g,"9.0 tbsp = 90.0g",
Proximates
"Water",g,12.40,4.46
"Energy",kcal,1382,498
"Protein",g,78.90,28.40
"Total lipid (fat)",g,121.88,43.88
"Carbohydrate, by difference",g,21.68,7.80
"Fiber, total dietary",g,10.0,3.6
"Sugars, total",g,3.75,1.35
Minerals
"Calcium, Ca",mg,175,63
"Iron, Fe",mg,19.88,7.16
"Magnesium, Mg",mg,1750,630
"Phosphorus, P",mg,4125,1485
"Potassium, K",mg,3000,1080
"Sodium, Na",mg,12,4
"Zinc, Zn",mg,24.75,8.91
Vitamins
"Vitamin C, total ascorbic acid",mg,1.2,0.4
"Thiamin",mg,3.188,1.148
"Riboflavin",mg,0.712,0.256
"Niacin",mg,23.000,8.280
"Vitamin B-6",mg,1.500,0.540
"Folate, DFE",µg,275,99
"Vitamin A, RAE",µg,2,1
"Vitamin A, IU",IU,28,10
"Vitamin E (alpha-tocopherol)",mg,2.00,0.72
Lipids
"Fatty acids, total saturated",g,11.500,4.140
"Fatty acids, total monounsaturated",g,13.500,4.860
"Fatty acids, total polyunsaturated",g,95.250,34.290
"Fatty acids, total trans",g,0.000,0.000
"Cholesterol",mg,0,0
Amino Acids
Other
