Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 24, 2016 16:06 EST
"Nutrient data for: 12014, Seeds, pumpkin and squash seed kernels, dried"
Nutrient,Unit,0.07Value per 7 g,"1 cup = 129.0g","1 oz = 28.35g",
Proximates
"Water",g,0.37,6.75,1.48
"Energy",kcal,39,721,158
"Protein",g,2.12,39.00,8.57
"Total lipid (fat)",g,3.43,63.27,13.91
"Carbohydrate, by difference",g,0.75,13.82,3.04
"Fiber, total dietary",g,0.4,7.7,1.7
"Sugars, total",g,0.10,1.81,0.40
Minerals
"Calcium, Ca",mg,3,59,13
"Iron, Fe",mg,0.62,11.38,2.50
"Magnesium, Mg",mg,41,764,168
"Phosphorus, P",mg,86,1591,350
"Potassium, K",mg,57,1044,229
"Sodium, Na",mg,0,9,2
"Zinc, Zn",mg,0.55,10.07,2.21
Vitamins
"Vitamin C, total ascorbic acid",mg,0.1,2.5,0.5
"Thiamin",mg,0.019,0.352,0.077
"Riboflavin",mg,0.011,0.197,0.043
"Niacin",mg,0.349,6.433,1.414
"Vitamin B-6",mg,0.010,0.184,0.041
"Folate, DFE",µg,4,75,16
"Vitamin B-12",µg,0.00,0.00,0.00
"Vitamin A, RAE",µg,0,1,0
"Vitamin A, IU",IU,1,21,5
"Vitamin E (alpha-tocopherol)",mg,0.15,2.81,0.62
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0
"Vitamin D",IU,0,0,0
"Vitamin K (phylloquinone)",µg,0.5,9.4,2.1
Lipids
"Fatty acids, total saturated",g,0.606,11.170,2.455
"Fatty acids, total monounsaturated",g,1.137,20.952,4.605
"Fatty acids, total polyunsaturated",g,1.468,27.059,5.947
"Fatty acids, total trans",g,0.004,0.083,0.018
"Cholesterol",mg,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0
