Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 16:54 EST
"Nutrient data for: 12663, Seeds, pumpkin and squash seeds, whole, roasted, with salt added"
Nutrient,Unit,4Value per 400 g,"4 cup = 256.0g","4 oz (85 seeds) = 113.4g",
Proximates
"Water",g,18.00,11.52,5.10
"Energy",kcal,1784,1142,506
"Protein",g,74.20,47.49,21.04
"Total lipid (fat)",g,77.60,49.66,22.00
"Carbohydrate, by difference",g,215.00,137.60,60.95
"Fiber, total dietary",g,73.6,47.1,20.9
Minerals
"Calcium, Ca",mg,220,141,62
"Iron, Fe",mg,13.24,8.47,3.75
"Magnesium, Mg",mg,1048,671,297
"Phosphorus, P",mg,368,236,104
"Potassium, K",mg,3676,2353,1042
"Sodium, Na",mg,10164,6505,2881
"Zinc, Zn",mg,41.20,26.37,11.68
Vitamins
"Vitamin C, total ascorbic acid",mg,1.2,0.8,0.3
"Thiamin",mg,0.136,0.087,0.039
"Riboflavin",mg,0.208,0.133,0.059
"Niacin",mg,1.144,0.732,0.324
"Vitamin B-6",mg,0.148,0.095,0.042
"Folate, DFE",µg,36,23,10
"Vitamin B-12",µg,0.00,0.00,0.00
"Vitamin A, RAE",µg,12,8,3
"Vitamin A, IU",IU,248,159,70
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0
"Vitamin D",IU,0,0,0
Lipids
"Fatty acids, total saturated",g,14.680,9.395,4.162
"Fatty acids, total monounsaturated",g,24.128,15.442,6.840
"Fatty acids, total polyunsaturated",g,35.376,22.641,10.029
"Cholesterol",mg,0,0,0
Amino Acids
Other
Footnotes
(a)"Sodium value reflects edible shells infused with salt.  Brands vary in sodium level."
