Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 16:57 EST
"Nutrient data for: 12036, Seeds, sunflower seed kernels, dried"
Nutrient,Unit,.30Value per 30 g,"1 cup, with hulls, edible yield = 46.0g","1 cup = 140.0g",
Proximates
"Water",g,1.42,2.18,6.62
"Energy",kcal,175,269,818
"Protein",g,6.23,9.56,29.09
"Total lipid (fat)",g,15.44,23.67,72.04
"Carbohydrate, by difference",g,6.00,9.20,28.00
"Fiber, total dietary",g,2.6,4.0,12.0
"Sugars, total",g,0.79,1.21,3.67
Minerals
"Calcium, Ca",mg,23,36,109
"Iron, Fe",mg,1.58,2.42,7.35
"Magnesium, Mg",mg,98,150,455
"Phosphorus, P",mg,198,304,924
"Potassium, K",mg,194,297,903
"Sodium, Na",mg,3,4,13
"Zinc, Zn",mg,1.50,2.30,7.00
Vitamins
"Vitamin C, total ascorbic acid",mg,0.4,0.6,2.0
"Thiamin",mg,0.444,0.681,2.072
"Riboflavin",mg,0.106,0.163,0.497
"Niacin",mg,2.500,3.834,11.669
"Vitamin B-6",mg,0.403,0.619,1.883
"Folate, DFE",µg,68,104,318
"Vitamin B-12",µg,0.00,0.00,0.00
"Vitamin A, RAE",µg,1,1,4
"Vitamin A, IU",IU,15,23,70
"Vitamin E (alpha-tocopherol)",mg,10.55,16.18,49.24
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0
"Vitamin D",IU,0,0,0
"Vitamin K (phylloquinone)",µg,0.0,0.0,0.0
Lipids
"Fatty acids, total saturated",g,1.336,2.049,6.237
"Fatty acids, total monounsaturated",g,5.558,8.523,25.939
"Fatty acids, total polyunsaturated",g,6.941,10.643,32.392
"Cholesterol",mg,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0
