Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 16:57 EST
"Nutrient data for: 12036, Seeds, sunflower seed kernels, dried"
Nutrient,Unit,.60Value per 60 g,"2 cup, with hulls, edible yield = 92.0g","1.5 cup = 210.0g",
Proximates
"Water",g,2.84,4.35,9.93
"Energy",kcal,350,537,1226
"Protein",g,12.47,19.12,43.64
"Total lipid (fat)",g,30.88,47.34,108.07
"Carbohydrate, by difference",g,12.00,18.40,42.00
"Fiber, total dietary",g,5.2,7.9,18.1
"Sugars, total",g,1.57,2.41,5.50
Minerals
"Calcium, Ca",mg,47,72,164
"Iron, Fe",mg,3.15,4.83,11.02
"Magnesium, Mg",mg,195,299,682
"Phosphorus, P",mg,396,607,1386
"Potassium, K",mg,387,593,1354
"Sodium, Na",mg,5,8,19
"Zinc, Zn",mg,3.00,4.60,10.50
Vitamins
"Vitamin C, total ascorbic acid",mg,0.8,1.3,2.9
"Thiamin",mg,0.888,1.362,3.108
"Riboflavin",mg,0.213,0.327,0.745
"Niacin",mg,5.001,7.668,17.504
"Vitamin B-6",mg,0.807,1.237,2.824
"Folate, DFE",µg,136,209,477
"Vitamin B-12",µg,0.00,0.00,0.00
"Vitamin A, RAE",µg,2,3,6
"Vitamin A, IU",IU,30,46,105
"Vitamin E (alpha-tocopherol)",mg,21.10,32.36,73.86
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0
"Vitamin D",IU,0,0,0
"Vitamin K (phylloquinone)",µg,0.0,0.0,0.0
Lipids
"Fatty acids, total saturated",g,2.673,4.099,9.356
"Fatty acids, total monounsaturated",g,11.117,17.046,38.909
"Fatty acids, total polyunsaturated",g,13.882,21.286,48.588
"Cholesterol",mg,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0
