Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 17:03 EST
"Nutrient data for: 12155, Nuts, walnuts, english"
Nutrient,Unit,4Value per 400 g,"4 cup, chopped = 468.0g","4 cup, ground = 320.0g","4 cup, in shell, edible yield (7 nuts) = 112.0g","4 cup shelled (50 halves) = 400.0g","4 cup pieces or chips = 480.0g","4 oz (14 halves) = 113.4g",
Proximates
"Water",g,16.28,19.05,13.02,4.56,16.28,19.54,4.62
"Energy",kcal,2616,3061,2093,732,2616,3139,742
"Protein",g,60.92,71.28,48.74,17.06,60.92,73.10,17.27
"Total lipid (fat)",g,260.84,305.18,208.67,73.04,260.84,313.01,73.95
"Carbohydrate, by difference",g,54.84,64.16,43.87,15.36,54.84,65.81,15.55
"Fiber, total dietary",g,26.8,31.4,21.4,7.5,26.8,32.2,7.6
"Sugars, total",g,10.44,12.21,8.35,2.92,10.44,12.53,2.96
Minerals
"Calcium, Ca",mg,392,459,314,110,392,470,111
"Iron, Fe",mg,11.64,13.62,9.31,3.26,11.64,13.97,3.30
"Magnesium, Mg",mg,632,739,506,177,632,758,179
"Phosphorus, P",mg,1384,1619,1107,388,1384,1661,392
"Potassium, K",mg,1764,2064,1411,494,1764,2117,500
"Sodium, Na",mg,8,9,6,2,8,10,2
"Zinc, Zn",mg,12.36,14.46,9.89,3.46,12.36,14.83,3.50
Vitamins
"Vitamin C, total ascorbic acid",mg,5.2,6.1,4.2,1.5,5.2,6.2,1.5
"Thiamin",mg,1.364,1.596,1.091,0.382,1.364,1.637,0.387
"Riboflavin",mg,0.600,0.702,0.480,0.168,0.600,0.720,0.170
"Niacin",mg,4.500,5.265,3.600,1.260,4.500,5.400,1.276
"Vitamin B-6",mg,2.148,2.513,1.718,0.601,2.148,2.578,0.609
"Folate, DFE",µg,392,459,314,110,392,470,111
"Vitamin B-12",µg,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Vitamin A, RAE",µg,4,5,3,1,4,5,1
"Vitamin A, IU",IU,80,94,64,22,80,96,23
"Vitamin E (alpha-tocopherol)",mg,2.80,3.28,2.24,0.78,2.80,3.36,0.79
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0,0,0,0
"Vitamin K (phylloquinone)",µg,10.8,12.6,8.6,3.0,10.8,13.0,3.1
Lipids
"Fatty acids, total saturated",g,24.504,28.670,19.603,6.861,24.504,29.405,6.947
"Fatty acids, total monounsaturated",g,35.732,41.806,28.586,10.005,35.732,42.878,10.130
"Fatty acids, total polyunsaturated",g,188.696,220.774,150.957,52.835,188.696,226.435,53.495
"Cholesterol",mg,0,0,0,0,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0,0,0,0,0
Footnotes
(a)"Unroasted"
(b)"Other phytosterols total 18.2 mg/100g; these include delta 5-avenasterol (7.3), campestanol (2.3), and other minor phytosterols (8.6 mg)."
