,
# Exported from http://www.nutritionvalue.org ,
# Seeds, flaxseed
# Serving size 100g,
Nutrient, Amount
Maltose, 0.00 g
Fructose, 0.00 g
Lactose, 0.00 g
Sucrose, 1.15 g
Glucose (dextrose), 0.40 g
Hexadecenoic acid, 0.024 g
"Tocotrienol, alpha", 0.00 mg
"Tocotrienol, beta", 0.00 mg
"Tocotrienol, gamma", 0.00 mg
"Tocotrienol, delta", 0.00 mg
"Tocopherol, beta", 0.00 mg
"Tocopherol, gamma", 19.95 mg
"Tocopherol, delta", 0.35 mg
Eicosapentaenoic n-3 acid, 0.000 g
Galactose, 0.00 g
Tetracosenoic cis acid, 0.064 g
"Cis,cis-eicosadienoic n-6 acid", 0.007 g
Theobromine, 0.00 mg
Caffeine, 0.00 mg
Sugars, 1.55 g
Vitamin B6, 0.473 mg
Folate, 87.00 mcg
Pantothenic acid, 0.985 mg
Vitamin B12, 0.00 mcg
Fiber, 27.3 g
Retinol, 0.00 mcg
Vitamin A, 0.00 IU
"Copper, Cu", 1.220 mg
"Selenium, Se", 25.4 mcg
Octadecadienoic acid, 5.903 g
"Manganese, Mn", 2.482 mg
Dihydrophylloquinone, 0.0 mcg
Hydroxyproline, 0.175 g
Hexadecanoic acid, 2.165 g
Choline, 78.7 mg
"Zinc, Zn", 4.34 mg
"Calcium, Ca", 255.00 mg
"Iron, Fe", 5.73 mg
"Magnesium, Mg", 392.00 mg
"Phosphorus, P", 642.00 mg
"Potassium, K", 813.00 mg
"Sodium, Na", 30.00 mg
Beta-sitosterol, 90.00 mg
Serine, 0.970 g
Monounsaturated fatty acids, 7.527 g
Polyunsaturated fatty acids, 28.730 g
Arginine, 1.925 g
Valine, 1.072 g
Alanine, 0.925 g
Histidine, 0.472 g
Glutamic acid, 4.039 g
Aspartic acid, 2.046 g
Proline, 0.806 g
Glycine, 1.248 g
Docosahexaenoic n-3 acid, 0.000 g
Eicosatetraenoic acid, 0.000 g
Octadecatetraenoic acid, 0.000 g
Lutein + zeaxanthin, 651.00 mcg
Docosanoic acid, 0.052 g
"Cryptoxanthin, beta", 0.00 mcg
Lycopene, 0.00 mcg
Eicosenoic acid, 0.067 g
Betaine, 3.1 mg
Water, 6.96 g
Niacin, 3.080 mg
Riboflavin, 0.161 mg
Tetracosanoic acid, 0.031 g
Thiamin, 1.644 mg
Pentadecanoic acid, 0.005 g
Heptadecanoic acid, 0.018 g
Phenylalanine, 0.957 g
Tyrosine, 0.493 g
Methionine, 0.370 g
Cystine, 0.340 g
Leucine, 1.235 g
Lysine, 0.862 g
Threonine, 0.766 g
Isoleucine, 0.896 g
Tryptophan, 0.297 g
Docosenoic acid, 0.013 g
Docosapentaenoic n-3 acid, 0.000 g
Vitamin C, 0.6 mg
Stigmasterol, 11.00 mg
Campesterol, 45.00 mg
"Alcohol, ethyl", 0.0 g
Butanoic acid, 0.000 g
Saturated fatty acids, 3.663 g
Cholesterol, 0.00 mg
Octanoic acid, 0.000 g
Hexanoic acid, 0.000 g
"Carotene, alpha", 0.00 mcg
Vitamin E, 0.31 mg
"Vitamin A, RAE", 0.00 mcg
"Carotene, beta", 0.00 mcg
Vitamin D, 0.00 IU
Vitamin D (D2 + D3), 0.0 mcg
Protein, 18.29 g
Octadecatrienoic acid, 22.813 g
Carbohydrate, 28.88 g
Fat, 42.16 g
Ash, 3.72 g
Tetradecanoic acid, 0.008 g
Calories, 534.00 kcal
Decanoic acid, 0.000 g
Dodecanoic acid, 0.000 g
Octadecenoic acid, 7.359 g
Octadecanoic acid, 1.330 g
Eicosanoic acid, 0.052 g
"Folate, DFE", 87.00 mcg
"Folate, food", 87.00 mcg
Vitamin K, 4.3 mcg
Folic acid, 0.00 mcg
"Tocopherol, alpha", 0.31 mg
# Exported from http://www.nutritionvalue.org ,
