Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 15:39 EST
"Nutrient data for: 11143, Celery, raw"
Nutrient,Unit,2Value per 200 g,"2 cup chopped = 202.0g","2 NLEA serving = 220.0g","2 tbsp = 15.0g","2 stalk, large (11""-12"" long) = 128.0g","2 stalk, medium (7-1/2"" - 8"" long) = 80.0g","2 stalk, small (5"" long) = 34.0g","2 strip (4"" long) = 8.0g",
Proximates
"Water",g,190.86,192.77,209.95,14.31,122.15,76.34,32.45,7.63
"Energy",kcal,32,32,35,2,20,13,5,1
"Protein",g,1.38,1.39,1.52,0.10,0.88,0.55,0.23,0.06
"Total lipid (fat)",g,0.34,0.34,0.37,0.03,0.22,0.14,0.06,0.01
"Carbohydrate, by difference",g,5.94,6.00,6.53,0.45,3.80,2.38,1.01,0.24
"Fiber, total dietary",g,3.2,3.2,3.5,0.2,2.0,1.3,0.5,0.1
"Sugars, total",g,2.68,2.71,2.95,0.20,1.72,1.07,0.46,0.11
Minerals
"Calcium, Ca",mg,80,81,88,6,51,32,14,3
"Iron, Fe",mg,0.40,0.40,0.44,0.03,0.26,0.16,0.07,0.02
"Magnesium, Mg",mg,22,22,24,2,14,9,4,1
"Phosphorus, P",mg,48,48,53,4,31,19,8,2
"Potassium, K",mg,520,525,572,39,333,208,88,21
"Sodium, Na",mg,160,162,176,12,102,64,27,6
"Zinc, Zn",mg,0.26,0.26,0.29,0.02,0.17,0.10,0.04,0.01
Vitamins
"Vitamin C, total ascorbic acid",mg,6.2,6.3,6.8,0.5,4.0,2.5,1.1,0.2
"Thiamin",mg,0.042,0.042,0.046,0.003,0.027,0.017,0.007,0.002
"Riboflavin",mg,0.114,0.115,0.125,0.009,0.073,0.046,0.019,0.005
"Niacin",mg,0.640,0.646,0.704,0.048,0.410,0.256,0.109,0.026
"Vitamin B-6",mg,0.148,0.149,0.163,0.011,0.095,0.059,0.025,0.006
"Folate, DFE",µg,72,73,79,5,46,29,12,3
"Vitamin B-12",µg,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Vitamin A, RAE",µg,44,44,48,3,28,18,7,2
"Vitamin A, IU",IU,898,907,988,67,575,359,153,36
"Vitamin E (alpha-tocopherol)",mg,0.54,0.55,0.59,0.04,0.35,0.22,0.09,0.02
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0,0,0,0,0
"Vitamin K (phylloquinone)",µg,58.6,59.2,64.5,4.4,37.5,23.4,10.0,2.3
Lipids
"Fatty acids, total saturated",g,0.084,0.085,0.092,0.006,0.054,0.034,0.014,0.003
"Fatty acids, total monounsaturated",g,0.064,0.065,0.070,0.005,0.041,0.026,0.011,0.003
"Fatty acids, total polyunsaturated",g,0.158,0.160,0.174,0.012,0.101,0.063,0.027,0.006
"Fatty acids, total trans",g,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Cholesterol",mg,0,0,0,0,0,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0,0,0,0,0,0
