Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 18:20 EST
"Nutrient data for: 11203, Cress, garden, raw"
Nutrient,Unit,.625Value per 62.5 g,"1 cup = 50.0g","1 sprig = 1.0g",
Proximates
"Water",g,55.88,44.70,0.89
"Energy",kcal,20,16,0
"Protein",g,1.62,1.30,0.03
"Total lipid (fat)",g,0.44,0.35,0.01
"Carbohydrate, by difference",g,3.44,2.75,0.06
"Fiber, total dietary",g,0.7,0.6,0.0
"Sugars, total",g,2.75,2.20,0.04
Minerals
"Calcium, Ca",mg,51,40,1
"Iron, Fe",mg,0.81,0.65,0.01
"Magnesium, Mg",mg,24,19,0
"Phosphorus, P",mg,48,38,1
"Potassium, K",mg,379,303,6
"Sodium, Na",mg,9,7,0
"Zinc, Zn",mg,0.14,0.12,0.00
Vitamins
"Vitamin C, total ascorbic acid",mg,43.1,34.5,0.7
"Thiamin",mg,0.050,0.040,0.001
"Riboflavin",mg,0.162,0.130,0.003
"Niacin",mg,0.625,0.500,0.010
"Vitamin B-6",mg,0.154,0.124,0.002
"Folate, DFE",µg,50,40,1
"Vitamin B-12",µg,0.00,0.00,0.00
"Vitamin A, RAE",µg,216,173,3
"Vitamin A, IU",IU,4323,3458,69
"Vitamin E (alpha-tocopherol)",mg,0.44,0.35,0.01
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0
"Vitamin D",IU,0,0,0
"Vitamin K (phylloquinone)",µg,338.7,271.0,5.4
Lipids
"Fatty acids, total saturated",g,0.014,0.012,0.000
"Fatty acids, total monounsaturated",g,0.149,0.120,0.002
"Fatty acids, total polyunsaturated",g,0.143,0.114,0.002
"Fatty acids, total trans",g,0.000,0.000,0.000
"Cholesterol",mg,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0
