Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 18:13 EST
"Nutrient data for: 11205, Cucumber, with peel, raw"
Nutrient,Unit,1.25Value per 125 g,"0.5 cup slices = 52.0g","1 cucumber (8-1/4"") = 301.0g",
Proximates
"Water",g,119.04,49.52,286.64
"Energy",kcal,19,8,45
"Protein",g,0.81,0.34,1.96
"Total lipid (fat)",g,0.14,0.06,0.33
"Carbohydrate, by difference",g,4.54,1.89,10.93
"Fiber, total dietary",g,0.6,0.3,1.5
"Sugars, total",g,2.09,0.87,5.03
Minerals
"Calcium, Ca",mg,20,8,48
"Iron, Fe",mg,0.35,0.15,0.84
"Magnesium, Mg",mg,16,7,39
"Phosphorus, P",mg,30,12,72
"Potassium, K",mg,184,76,442
"Sodium, Na",mg,2,1,6
"Zinc, Zn",mg,0.25,0.10,0.60
Vitamins
"Vitamin C, total ascorbic acid",mg,3.5,1.5,8.4
"Thiamin",mg,0.034,0.014,0.081
"Riboflavin",mg,0.041,0.017,0.099
"Niacin",mg,0.122,0.051,0.295
"Vitamin B-6",mg,0.050,0.021,0.120
"Folate, DFE",µg,9,4,21
"Vitamin B-12",µg,0.00,0.00,0.00
"Vitamin A, RAE",µg,6,3,15
"Vitamin A, IU",IU,131,55,316
"Vitamin E (alpha-tocopherol)",mg,0.04,0.02,0.09
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0
"Vitamin D",IU,0,0,0
"Vitamin K (phylloquinone)",µg,20.5,8.5,49.4
Lipids
"Fatty acids, total saturated",g,0.046,0.019,0.111
"Fatty acids, total monounsaturated",g,0.006,0.003,0.015
"Fatty acids, total polyunsaturated",g,0.040,0.017,0.096
"Fatty acids, total trans",g,0.000,0.000,0.000
"Cholesterol",mg,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0
