Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 15:18 EST
"Nutrient data for: 11233, Kale, raw"
Nutrient,Unit,2Value per 200 g,"2 cup 1"" pieces, loosely packed = 32.0g",
Proximates
"Water",g,168.08,26.89
"Energy",kcal,98,16
"Protein",g,8.56,1.37
"Total lipid (fat)",g,1.86,0.30
"Carbohydrate, by difference",g,17.50,2.80
"Fiber, total dietary",g,7.2,1.2
"Sugars, total",g,4.52,0.72
Minerals
"Calcium, Ca",mg,300,48
"Iron, Fe",mg,2.94,0.47
"Magnesium, Mg",mg,94,15
"Phosphorus, P",mg,184,29
"Potassium, K",mg,982,157
"Sodium, Na",mg,76,12
"Zinc, Zn",mg,1.12,0.18
Vitamins
"Vitamin C, total ascorbic acid",mg,240.0,38.4
"Thiamin",mg,0.220,0.035
"Riboflavin",mg,0.260,0.042
"Niacin",mg,2.000,0.320
"Vitamin B-6",mg,0.542,0.087
"Folate, DFE",µg,282,45
"Vitamin B-12",µg,0.00,0.00
"Vitamin A, RAE",µg,1000,160
"Vitamin A, IU",IU,19980,3197
"Vitamin E (alpha-tocopherol)",mg,3.08,0.49
"Vitamin D (D2 + D3)",µg,0.0,0.0
"Vitamin D",IU,0,0
"Vitamin K (phylloquinone)",µg,1409.6,225.5
Lipids
"Fatty acids, total saturated",g,0.182,0.029
"Fatty acids, total monounsaturated",g,0.104,0.017
"Fatty acids, total polyunsaturated",g,0.676,0.108
"Fatty acids, total trans",g,0.000,0.000
"Cholesterol",mg,0,0
Amino Acids
Other
"Caffeine",mg,0,0
