Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 17:56 EST
"Nutrient data for: 11233, Kale, raw"
Nutrient,Unit,.625Value per 62.5 g,"1 cup 1"" pieces, loosely packed = 16.0g",
Proximates
"Water",g,52.53,13.45
"Energy",kcal,31,8
"Protein",g,2.68,0.68
"Total lipid (fat)",g,0.58,0.15
"Carbohydrate, by difference",g,5.47,1.40
"Fiber, total dietary",g,2.2,0.6
"Sugars, total",g,1.41,0.36
Minerals
"Calcium, Ca",mg,94,24
"Iron, Fe",mg,0.92,0.24
"Magnesium, Mg",mg,29,8
"Phosphorus, P",mg,58,15
"Potassium, K",mg,307,79
"Sodium, Na",mg,24,6
"Zinc, Zn",mg,0.35,0.09
Vitamins
"Vitamin C, total ascorbic acid",mg,75.0,19.2
"Thiamin",mg,0.069,0.018
"Riboflavin",mg,0.081,0.021
"Niacin",mg,0.625,0.160
"Vitamin B-6",mg,0.169,0.043
"Folate, DFE",µg,88,23
"Vitamin B-12",µg,0.00,0.00
"Vitamin A, RAE",µg,312,80
"Vitamin A, IU",IU,6244,1598
"Vitamin E (alpha-tocopherol)",mg,0.96,0.25
"Vitamin D (D2 + D3)",µg,0.0,0.0
"Vitamin D",IU,0,0
"Vitamin K (phylloquinone)",µg,440.5,112.8
Lipids
"Fatty acids, total saturated",g,0.057,0.015
"Fatty acids, total monounsaturated",g,0.032,0.008
"Fatty acids, total polyunsaturated",g,0.211,0.054
"Fatty acids, total trans",g,0.000,0.000
"Cholesterol",mg,0,0
Amino Acids
Other
"Caffeine",mg,0,0
