Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 18:25 EST
"Nutrient data for: 11445, Seaweed, kelp, raw"
Nutrient,Unit,.625Value per 62.5 g,"2.0 tbsp (1/8 cup) = 10.0g",
Proximates
"Water",g,50.99,8.16
"Energy",kcal,27,4
"Protein",g,1.05,0.17
"Total lipid (fat)",g,0.35,0.06
"Carbohydrate, by difference",g,5.98,0.96
"Fiber, total dietary",g,0.8,0.1
"Sugars, total",g,0.38,0.06
Minerals
"Calcium, Ca",mg,105,17
"Iron, Fe",mg,1.78,0.28
"Magnesium, Mg",mg,76,12
"Phosphorus, P",mg,26,4
"Potassium, K",mg,56,9
"Sodium, Na",mg,146,23
"Zinc, Zn",mg,0.77,0.12
Vitamins
"Vitamin C, total ascorbic acid",mg,1.9,0.3
"Thiamin",mg,0.031,0.005
"Riboflavin",mg,0.094,0.015
"Niacin",mg,0.294,0.047
"Vitamin B-6",mg,0.001,0.000
"Folate, DFE",µg,112,18
"Vitamin B-12",µg,0.00,0.00
"Vitamin A, RAE",µg,4,1
"Vitamin A, IU",IU,72,12
"Vitamin E (alpha-tocopherol)",mg,0.54,0.09
"Vitamin D (D2 + D3)",µg,0.0,0.0
"Vitamin D",IU,0,0
"Vitamin K (phylloquinone)",µg,41.2,6.6
Lipids
"Fatty acids, total saturated",g,0.154,0.025
"Fatty acids, total monounsaturated",g,0.061,0.010
"Fatty acids, total polyunsaturated",g,0.029,0.005
"Fatty acids, total trans",g,0.000,0.000
"Cholesterol",mg,0,0
Amino Acids
Other
"Caffeine",mg,0,0
